Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,A>T,9,6,15,6350003,6167708,12517711,1.1983021496502036e-06
DAL192,3p,2,A>T,10,3,13,6350003,6167706,12517709,1.0385286956263325e-06
DAL192,3p,3,A>T,88,165,253,6350003,6167708,12517711,2.02113629241001e-05
DAL192,3p,4,A>T,139,123,262,6350003,6167708,12517711,2.0930344213890224e-05
DAL192,3p,5,A>T,169,142,311,6350003,6167708,12517711,2.4844797902747557e-05
DAL192,3p,6,A>T,189,166,355,6350003,6167708,12517711,2.835981754172149e-05
DAL192,3p,7,A>T,237,189,426,6350003,6167708,12517711,3.403178105006578e-05
DAL192,3p,8,A>T,266,191,457,6350003,6167618,12517621,3.650853464887617e-05
DAL192,3p,9,A>T,247,252,499,6350003,6167637,12517640,3.9863744284066325e-05
DAL192,3p,10,A>T,268,365,633,6350003,6167645,12517648,5.056860522040562e-05
DAL192,3p,11,A>T,247,356,603,6349987,6167644,12517631,4.817205428087791e-05
DAL192,3p,12,A>T,288,335,623,6349997,6167646,12517643,4.976975297985412e-05
DAL192,3p,13,A>T,373,320,693,6349992,6167621,12517613,5.53619927377528e-05
DAL192,3p,14,A>T,362,405,767,6349967,6167610,12517577,6.127383917830103e-05
DAL192,3p,15,A>T,367,433,800,6349968,6167615,12517583,6.39101014948333e-05
DAL192,3p,16,A>T,233,303,536,6349943,6167587,12517530,4.281994930309734e-05
DAL192,3p,17,A>T,425,468,893,6349922,6167606,12517528,7.133996424853214e-05
DAL192,3p,18,A>T,509,406,915,6349922,6167564,12517486,7.309774502643742e-05
DAL192,3p,19,A>T,545,669,1214,6349921,6167519,12517440,9.698468696474678e-05
DAL192,3p,20,A>T,460,391,851,6349910,6167516,12517426,6.798522316009698e-05
DAL192,3p,21,A>T,811,360,1171,6349882,6167507,12517389,9.354986091748048e-05
DAL192,3p,22,A>T,702,344,1046,6349894,6167488,12517382,8.356379952293539e-05
DAL192,3p,23,A>T,573,412,985,6349902,6167465,12517367,7.869067033026994e-05
DAL192,3p,24,A>T,580,498,1078,6349899,6167465,12517364,8.612036847374575e-05
DAL192,3p,25,A>T,789,420,1209,6349856,6167384,12517240,9.658678750267632e-05
DAL192,5p,1,A>T,7,9,16,6350003,6167708,12517711,1.2781889596268838e-06
DAL192,5p,2,A>T,10,15,25,6349992,6167694,12517686,1.997174238113977e-06
DAL192,5p,3,A>T,12,28,40,6350003,6167707,12517710,3.1954726543433264e-06
DAL192,5p,4,A>T,71,35,106,6350003,6167708,12517711,8.468001857528106e-06
DAL192,5p,5,A>T,193,158,351,6350003,6167707,12517710,2.804027254186269e-05
DAL192,5p,6,A>T,221,174,395,6350002,6167707,12517709,3.1555294982492404e-05
DAL192,5p,7,A>T,403,365,768,6350002,6167708,12517710,6.135307496339186e-05
DAL192,5p,8,A>T,380,325,705,6349926,6167708,12517634,5.632054747726288e-05
DAL192,5p,9,A>T,442,496,938,6349914,6167708,12517622,7.493436053589092e-05
DAL192,5p,10,A>T,362,311,673,6349896,6167708,12517604,5.376428268540848e-05
DAL192,5p,11,A>T,239,354,593,6349942,6167706,12517648,4.737311673886341e-05
DAL192,5p,12,A>T,617,475,1092,6349906,6167700,12517606,8.7237128249603e-05
DAL192,5p,13,A>T,374,399,773,6349906,6167705,12517611,6.1752997436971e-05
DAL192,5p,14,A>T,421,420,841,6349889,6167679,12517568,6.718557470588535e-05
DAL192,5p,15,A>T,356,511,867,6349890,6167649,12517539,6.926281595767347e-05
DAL192,5p,16,A>T,486,387,873,6349904,6167639,12517543,6.97421211175388e-05
DAL192,5p,17,A>T,398,383,781,6349778,6167623,12517401,6.23931437524451e-05
DAL192,5p,18,A>T,417,562,979,6349859,6167631,12517490,7.821056777357123e-05
DAL192,5p,19,A>T,588,502,1090,6349822,6167638,12517460,8.707836893427261e-05
DAL192,5p,20,A>T,389,657,1046,6349836,6167621,12517457,8.356329883937288e-05
DAL192,5p,21,A>T,547,665,1212,6349784,6167624,12517408,9.682515741278068e-05
DAL192,5p,22,A>T,405,660,1065,6349783,6167584,12517367,8.508179076318526e-05
DAL192,5p,23,A>T,465,602,1067,6349801,6167567,12517368,8.524156196414454e-05
DAL192,5p,24,A>T,496,612,1108,6349759,6167564,12517323,8.851732914457827e-05
DAL192,5p,25,A>T,486,604,1090,6349777,6167551,12517328,8.707928720889954e-05
DAL193,3p,1,A>T,21,6,27,6484405,6362696,12847101,2.101641452028749e-06
DAL193,3p,2,A>T,32,8,40,6484402,6362696,12847098,3.113543618955814e-06
DAL193,3p,3,A>T,197,397,594,6484405,6362696,12847101,4.623611194463249e-05
DAL193,3p,4,A>T,199,250,449,6484405,6362696,12847101,3.494951896151513e-05
DAL193,3p,5,A>T,698,1092,1790,6484405,6362696,12847101,0.0001393310444122
DAL193,3p,6,A>T,883,1414,2297,6484405,6362696,12847101,0.000178795200567
DAL193,3p,7,A>T,659,1106,1765,6484405,6362696,12847101,0.0001373850801048
DAL193,3p,8,A>T,875,1217,2092,6484400,6362644,12847044,0.0001628390157299
DAL193,3p,9,A>T,957,1690,2647,6484400,6362631,12847031,0.0002060398235203
DAL193,3p,10,A>T,1336,1264,2600,6484393,6362640,12847033,0.0002023813591823
DAL193,3p,11,A>T,951,1338,2289,6484398,6362639,12847037,0.0001781733795893
DAL193,3p,12,A>T,1321,1440,2761,6484368,6362594,12846962,0.000214914623395
DAL193,3p,13,A>T,1119,1208,2327,6484385,6362543,12846928,0.0001811327968834
