Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,A>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,2,A>-,0,0,0,6350003,6167706,12517709,0.0
DAL192,3p,3,A>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,4,A>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,5,A>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,6,A>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,7,A>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,8,A>-,0,0,0,6350003,6167618,12517621,0.0
DAL192,3p,9,A>-,1,7,8,6350003,6167637,12517640,6.390981047545704e-07
DAL192,3p,10,A>-,2,6,8,6350003,6167645,12517648,6.390976963084439e-07
DAL192,3p,11,A>-,4,6,10,6349987,6167644,12517631,7.988732053213584e-07
DAL192,3p,12,A>-,8,8,16,6349997,6167646,12517643,1.2781959031744235e-06
DAL192,3p,13,A>-,8,8,16,6349992,6167621,12517613,1.2781989665282031e-06
DAL192,3p,14,A>-,3,9,12,6349967,6167610,12517577,9.586519819290903e-07
DAL192,3p,15,A>-,15,8,23,6349968,6167615,12517583,1.8374154179764576e-06
DAL192,3p,16,A>-,11,9,20,6349943,6167587,12517530,1.5977593023543782e-06
DAL192,3p,17,A>-,21,11,32,6349922,6167606,12517528,2.5564152922206366e-06
DAL192,3p,18,A>-,22,11,33,6349922,6167564,12517486,2.636312115707579e-06
DAL192,3p,19,A>-,18,14,32,6349921,6167519,12517440,2.556433264309635e-06
DAL192,3p,20,A>-,34,10,44,6349910,6167516,12517426,3.5150996698522524e-06
DAL192,3p,21,A>-,34,20,54,6349882,6167507,12517389,4.313998710114385e-06
DAL192,3p,22,A>-,27,20,47,6349894,6167488,12517382,3.754778754854649e-06
DAL192,3p,23,A>-,41,38,79,6349902,6167465,12517367,6.311231427503883e-06
DAL192,3p,24,A>-,40,36,76,6349899,6167465,12517364,6.0715658664236334e-06
DAL192,3p,25,A>-,71,71,142,6349856,6167384,12517240,1.1344353867146431e-05
DAL192,5p,1,A>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,2,A>-,0,0,0,6349992,6167694,12517686,0.0
DAL192,5p,3,A>-,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,4,A>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,5,A>-,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,6,A>-,1,0,1,6350002,6167707,12517709,7.98868227404871e-08
DAL192,5p,7,A>-,0,0,0,6350002,6167708,12517710,0.0
DAL192,5p,8,A>-,0,0,0,6349926,6167708,12517634,0.0
DAL192,5p,9,A>-,10,1,11,6349914,6167708,12517622,8.787611576703626e-07
DAL192,5p,10,A>-,21,0,21,6349896,6167708,12517604,1.6776373497675754e-06
DAL192,5p,11,A>-,10,5,15,6349942,6167706,12517648,1.1983081805783323e-06
DAL192,5p,12,A>-,5,5,10,6349906,6167700,12517606,7.988748008205402e-07
DAL192,5p,13,A>-,18,5,23,6349906,6167705,12517611,1.8374113079564463e-06
DAL192,5p,14,A>-,101,4,105,6349889,6167679,12517568,8.388210872910776e-06
DAL192,5p,15,A>-,9,8,17,6349890,6167649,12517539,1.358094430542617e-06
DAL192,5p,16,A>-,14,9,23,6349904,6167639,12517543,1.8374212894655128e-06
DAL192,5p,17,A>-,24,2,26,6349778,6167623,12517401,2.077108498800989e-06
DAL192,5p,18,A>-,41,13,54,6349859,6167631,12517490,4.313963901708729e-06
DAL192,5p,19,A>-,36,12,48,6349822,6167638,12517460,3.834643769582647e-06
DAL192,5p,20,A>-,46,13,59,6349836,6167621,12517457,4.713417429754302e-06
DAL192,5p,21,A>-,50,15,65,6349784,6167624,12517408,5.1927683430946726e-06
DAL192,5p,22,A>-,49,17,66,6349783,6167584,12517367,5.272674357155143e-06
