Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,C>A,11,7,18,6350003,6167708,12517711,1.4379625795802444e-06
DAL192,3p,2,C>A,18,53,71,6350003,6167706,12517709,5.671964414574584e-06
DAL192,3p,3,C>A,66,76,142,6350003,6167708,12517711,1.1343927016688594e-05
DAL192,3p,4,C>A,296,129,425,6350003,6167708,12517711,3.39518942400891e-05
DAL192,3p,5,C>A,351,206,557,6350003,6167708,12517711,4.4496953157010895e-05
DAL192,3p,6,C>A,380,446,826,6350003,6167708,12517711,6.598650504073788e-05
DAL192,3p,7,C>A,279,235,514,6350003,6167708,12517711,4.1061820328013646e-05
DAL192,3p,8,C>A,427,330,757,6350003,6167618,12517621,6.0474749954484165e-05
DAL192,3p,9,C>A,325,360,685,6350003,6167637,12517640,5.4722775219610085e-05
DAL192,3p,10,C>A,430,276,706,6350003,6167645,12517648,5.640037169922017e-05
DAL192,3p,11,C>A,389,306,695,6349987,6167644,12517631,5.55216877698344e-05
DAL192,3p,12,C>A,693,303,996,6349997,6167646,12517643,7.956769497260786e-05
DAL192,3p,13,C>A,512,284,796,6349992,6167621,12517613,6.35903985847781e-05
DAL192,3p,14,C>A,411,425,836,6349967,6167610,12517577,6.678608807439331e-05
DAL192,3p,15,C>A,319,345,664,6349968,6167615,12517583,5.304538424071165e-05
DAL192,3p,16,C>A,405,303,708,6349943,6167587,12517530,5.656067930334499e-05
DAL192,3p,17,C>A,416,354,770,6349922,6167606,12517528,6.151374296905907e-05
DAL192,3p,18,C>A,402,376,778,6349922,6167564,12517486,6.215305533395443e-05
DAL192,3p,19,C>A,321,466,787,6349921,6167519,12517440,6.287228059411509e-05
DAL192,3p,20,C>A,476,390,866,6349910,6167516,12517426,6.918355259300115e-05
DAL192,3p,21,C>A,338,267,605,6349882,6167507,12517389,4.833276332628154e-05
DAL192,3p,22,C>A,466,288,754,6349894,6167488,12517382,6.023623789702991e-05
DAL192,3p,23,C>A,478,401,879,6349902,6167465,12517367,7.022243575665714e-05
DAL192,3p,24,C>A,416,392,808,6349899,6167465,12517364,6.455033184303021e-05
DAL192,3p,25,C>A,396,374,770,6349856,6167384,12517240,6.151515829368135e-05
DAL192,5p,1,C>A,8,2,10,6350003,6167708,12517711,7.988680997668024e-07
DAL192,5p,2,C>A,21,26,47,6349992,6167694,12517686,3.754687567654277e-06
DAL192,5p,3,C>A,23,15,38,6350003,6167707,12517710,3.03569902162616e-06
DAL192,5p,4,C>A,152,68,220,6350003,6167708,12517711,1.7575098194869652e-05
DAL192,5p,5,C>A,205,325,530,6350003,6167707,12517710,4.234001267004908e-05
DAL192,5p,6,C>A,288,244,532,6350002,6167707,12517709,4.2499789697939135e-05
DAL192,5p,7,C>A,107,192,299,6350002,6167708,12517710,2.3886158091216365e-05
DAL192,5p,8,C>A,181,182,363,6349926,6167708,12517634,2.8999090403186417e-05
DAL192,5p,9,C>A,269,274,543,6349914,6167708,12517622,4.33788462377279e-05
DAL192,5p,10,C>A,508,628,1136,6349896,6167708,12517604,9.075219187314122e-05
DAL192,5p,11,C>A,309,272,581,6349942,6167706,12517648,4.6414470194400735e-05
DAL192,5p,12,C>A,345,289,634,6349906,6167700,12517606,5.0648662372022255e-05
DAL192,5p,13,C>A,375,418,793,6349906,6167705,12517611,6.335074640041139e-05
DAL192,5p,14,C>A,264,441,705,6349889,6167679,12517568,5.6320844432400926e-05
DAL192,5p,15,C>A,389,414,803,6349890,6167649,12517539,6.414998986621891e-05
DAL192,5p,16,C>A,269,435,704,6349904,6167639,12517543,5.6241069034074815e-05
DAL192,5p,17,C>A,345,440,785,6349778,6167623,12517401,6.271269890610678e-05
DAL192,5p,18,C>A,394,498,892,6349859,6167631,12517490,7.126029259859605e-05
DAL192,5p,19,C>A,385,469,854,6349822,6167638,12517460,6.82247037338246e-05
DAL192,5p,20,C>A,412,425,837,6349836,6167621,12517457,6.686661675770087e-05
DAL192,5p,21,C>A,567,539,1106,6349784,6167624,12517408,8.835695057634936e-05
DAL192,5p,22,C>A,784,442,1226,6349783,6167584,12517367,9.794392063442736e-05
DAL192,5p,23,C>A,370,548,918,6349801,6167567,12517368,7.333810110879539e-05
DAL192,5p,24,C>A,802,419,1221,6349759,6167564,12517323,9.754481848874556e-05
DAL192,5p,25,C>A,468,540,1008,6349777,6167551,12517328,8.052836835465205e-05
DAL193,3p,1,C>A,30,22,52,6484405,6362696,12847101,4.047605759462777e-06
DAL193,3p,2,C>A,153,185,338,6484402,6362696,12847098,2.6309443580176627e-05
DAL193,3p,3,C>A,243,206,449,6484405,6362696,12847101,3.494951896151513e-05
DAL193,3p,4,C>A,368,217,585,6484405,6362696,12847101,4.553556479395624e-05
DAL193,3p,5,C>A,1028,813,1841,6484405,6362696,12847101,0.0001433008115994
DAL193,3p,6,C>A,1073,939,2012,6484405,6362696,12847101,0.0001566112074622
DAL193,3p,7,C>A,1240,1045,2285,6484405,6362696,12847101,0.0001778611376994
DAL193,3p,8,C>A,1259,1311,2570,6484400,6362644,12847044,0.0002000460183681
DAL193,3p,9,C>A,1149,1738,2887,6484400,6362631,12847031,0.0002247211826608
DAL193,3p,10,C>A,1202,1335,2537,6484393,6362640,12847033,0.0001974775031713
DAL193,3p,11,C>A,1369,1006,2375,6484398,6362639,12847037,0.000184867530155
DAL193,3p,12,C>A,1521,1270,2791,6484368,6362594,12846962,0.0002172498058295
DAL193,3p,13,C>A,1329,1280,2609,6484385,6362543,12846928,0.0002030835698619
DAL193,3p,14,C>A,987,1191,2178,6484363,6362486,12846849,0.0001695357359614
DAL193,3p,15,C>A,1482,1248,2730,6484332,6362438,12846770,0.0002125047774654
DAL193,3p,16,C>A,1111,1269,2380,6484341,6362460,12846801,0.0001852601281828
DAL193,3p,17,C>A,1191,1039,2230,6484294,6362445,12846739,0.0001735849074228
DAL193,3p,18,C>A,1298,1320,2618,6484244,6362380,12846624,0.0002037889487541
DAL193,3p,19,C>A,1298,1077,2375,6484265,6362400,12846665,0.0001848728833514
DAL193,3p,20,C>A,1260,1727,2987,6484261,6362382,12846643,0.0002325121045241
DAL193,3p,21,C>A,1812,1319,3131,6484248,6362443,12846691,0.000243720347909
DAL193,3p,22,C>A,1329,1404,2733,6484224,6362407,12846631,0.0002127406010182
DAL193,3p,23,C>A,1586,1967,3553,6484218,6362399,12846617,0.0002765708668671
DAL193,3p,24,C>A,1774,1517,3291,6484164,6362319,12846483,0.0002561790647292
DAL193,3p,25,C>A,1358,1198,2556,6484128,6362355,12846483,0.0001989649618498
DAL193,5p,1,C>A,6,18,24,6484405,6362696,12847101,1.8681257351366665e-06
DAL193,5p,2,C>A,85,79,164,6484386,6362681,12847067,1.2765559640967078e-05
DAL193,5p,3,C>A,101,96,197,6484400,6362696,12847096,1.5334204710543146e-05
DAL193,5p,4,C>A,260,378,638,6484403,6362696,12847099,4.966101685680168e-05
DAL193,5p,5,C>A,1143,1081,2224,6484403,6362696,12847099,0.000173113011739
DAL193,5p,6,C>A,1105,1107,2212,6484404,6362696,12847100,0.0001721789353239
DAL193,5p,7,C>A,504,696,1200,6484404,6362696,12847100,9.340629402744588e-05
DAL193,5p,8,C>A,944,1009,1953,6484314,6362693,12847007,0.0001520198439994
DAL193,5p,9,C>A,984,1116,2100,6484295,6362695,12846990,0.000163462414153
DAL193,5p,10,C>A,1733,2218,3951,6484284,6362694,12846978,0.0003075431436093
DAL193,5p,11,C>A,1131,1020,2151,6484315,6362677,12846992,0.000167432189574
DAL193,5p,12,C>A,1089,903,1992,6484218,6362670,12846888,0.0001550570068019
DAL193,5p,13,C>A,1368,1180,2548,6484143,6362652,12846795,0.0001983374063336
DAL193,5p,14,C>A,1557,1210,2767,6484145,6362627,12846772,0.0002153848453136
DAL193,5p,15,C>A,1686,1520,3206,6484166,6362534,12846700,0.0002495582523138
DAL193,5p,16,C>A,1285,1708,2993,6484111,6362519,12846630,0.0002329793883687
DAL193,5p,17,C>A,1192,1483,2675,6484043,6362598,12846641,0.0002082256365691
DAL193,5p,18,C>A,2037,1385,3422,6483967,6362571,12846538,0.0002663752677958
DAL193,5p,19,C>A,1412,1099,2511,6483980,6362593,12846573,0.0001954606882317
DAL193,5p,20,C>A,1101,998,2099,6483952,6362554,12846506,0.0001633907305223
DAL193,5p,21,C>A,1288,1150,2438,6484003,6362532,12846535,0.0001897788002757
DAL193,5p,22,C>A,1550,1314,2864,6484010,6362499,12846509,0.0002229399442292
DAL193,5p,23,C>A,1038,1247,2285,6483966,6362463,12846429,0.0001778704416612
DAL193,5p,24,C>A,1767,1234,3001,6483905,6362426,12846331,0.0002336075568969
DAL193,5p,25,C>A,1278,1253,2531,6483942,6362403,12846345,0.0001970210203758
DAL195,3p,1,C>A,7,7,14,2363278,2267461,4630739,3.0232755506194584e-06
DAL195,3p,2,C>A,52,35,87,2363278,2267460,4630738,1.878750212169205e-05
DAL195,3p,3,C>A,78,30,108,2363278,2267461,4630739,2.3322411390492965e-05
DAL195,3p,4,C>A,58,57,115,2363278,2267461,4630739,2.4834049165802692e-05
DAL195,3p,5,C>A,200,226,426,2363278,2267461,4630739,9.19939560402778e-05
DAL195,3p,6,C>A,214,200,414,2363278,2267461,4630739,8.94025769968897e-05
DAL195,3p,7,C>A,268,246,514,2363278,2267461,4630739,0.0001109974023584
DAL195,3p,8,C>A,236,203,439,2363278,2267413,4630691,9.480226601170322e-05
DAL195,3p,9,C>A,263,231,494,2363276,2267438,4630714,0.0001066790132148
DAL195,3p,10,C>A,302,205,507,2363274,2267432,4630706,0.0001094865448162
DAL195,3p,11,C>A,220,246,466,2363274,2267431,4630705,0.0001006326250538
DAL195,3p,12,C>A,268,296,564,2363273,2267414,4630687,0.0001217961827262
DAL195,3p,13,C>A,255,274,529,2363269,2267412,4630681,0.0001142380569942
DAL195,3p,14,C>A,298,220,518,2363250,2267410,4630660,0.0001118631037476
DAL195,3p,15,C>A,364,220,584,2363254,2267411,4630665,0.0001261157954635
DAL195,3p,16,C>A,324,242,566,2363259,2267394,4630653,0.000122228981528
DAL195,3p,17,C>A,372,261,633,2363234,2267398,4630632,0.0001366984031553
DAL195,3p,18,C>A,341,251,592,2363236,2267374,4630610,0.0001278449275581
DAL195,3p,19,C>A,379,365,744,2363215,2267369,4630584,0.0001606708786623
DAL195,3p,20,C>A,304,437,741,2363222,2267380,4630602,0.0001600223901773
DAL195,3p,21,C>A,312,289,601,2363235,2267382,4630617,0.0001297883197854
DAL195,3p,22,C>A,333,259,592,2363231,2267383,4630614,0.0001278448171236
DAL195,3p,23,C>A,288,332,620,2363219,2267370,4630589,0.0001338922543114
DAL195,3p,24,C>A,401,367,768,2363198,2267373,4630571,0.0001658542758549
DAL195,3p,25,C>A,294,396,690,2363180,2267377,4630557,0.0001490101514785
DAL195,5p,1,C>A,3,0,3,2363278,2267461,4630739,6.478447608470268e-07
DAL195,5p,2,C>A,19,6,25,2363264,2267447,4630711,5.39873898414304e-06
DAL195,5p,3,C>A,38,22,60,2363278,2267459,4630737,1.2956900812980742e-05
DAL195,5p,4,C>A,51,66,117,2363278,2267461,4630739,2.5265945673034045e-05
DAL195,5p,5,C>A,244,321,565,2363277,2267461,4630738,0.0001220107896408
DAL195,5p,6,C>A,351,276,627,2363277,2267461,4630738,0.0001353995842563
DAL195,5p,7,C>A,212,211,423,2363277,2267461,4630738,9.134613100546824e-05
DAL195,5p,8,C>A,351,269,620,2363212,2267460,4630672,0.0001338898544314
DAL195,5p,9,C>A,321,237,558,2363181,2267461,4630642,0.0001205016496632
DAL195,5p,10,C>A,470,455,925,2363146,2267458,4630604,0.000199757958141
DAL195,5p,11,C>A,280,297,577,2362948,2267450,4630398,0.0001246113185086
DAL195,5p,12,C>A,261,354,615,2362864,2267454,4630318,0.0001328202512224
