Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,C>G,5,4,9,6350003,6167708,12517711,7.189812897901222e-07
DAL192,3p,2,C>G,49,42,91,6350003,6167706,12517709,7.269700869384326e-06
DAL192,3p,3,C>G,33,65,98,6350003,6167708,12517711,7.828907377714664e-06
DAL192,3p,4,C>G,102,49,151,6350003,6167708,12517711,1.2062908306478716e-05
DAL192,3p,5,C>G,204,131,335,6350003,6167708,12517711,2.676208134218788e-05
DAL192,3p,6,C>G,225,128,353,6350003,6167708,12517711,2.8200043921768127e-05
DAL192,3p,7,C>G,149,141,290,6350003,6167708,12517711,2.316717489323727e-05
DAL192,3p,8,C>G,241,157,398,6350003,6167618,12517621,3.17951789721066e-05
DAL192,3p,9,C>G,292,195,487,6350003,6167637,12517640,3.890509712693447e-05
DAL192,3p,10,C>G,208,306,514,6350003,6167645,12517648,4.106202698781752e-05
DAL192,3p,11,C>G,194,265,459,6349987,6167644,12517631,3.666828012425035e-05
DAL192,3p,12,C>G,254,291,545,6349997,6167646,12517643,4.35385479518788e-05
DAL192,3p,13,C>G,221,279,500,6349992,6167621,12517613,3.994371770400635e-05
DAL192,3p,14,C>G,259,283,542,6349967,6167610,12517577,4.3299114517130594e-05
DAL192,3p,15,C>G,280,362,642,6349968,6167615,12517583,5.128785644960373e-05
DAL192,3p,16,C>G,339,364,703,6349943,6167587,12517530,5.616123947775639e-05
DAL192,3p,17,C>G,332,409,741,6349922,6167606,12517528,5.9196991610484114e-05
DAL192,3p,18,C>G,341,471,812,6349922,6167564,12517486,6.486925569559255e-05
DAL192,3p,19,C>G,306,310,616,6349921,6167519,12517440,4.921134033796048e-05
DAL192,3p,20,C>G,386,341,727,6349910,6167516,12517426,5.807903318142245e-05
DAL192,3p,21,C>G,359,341,700,6349882,6167507,12517389,5.592220550148278e-05
DAL192,3p,22,C>G,383,413,796,6349894,6167488,12517382,6.359157210349576e-05
DAL192,3p,23,C>G,418,428,846,6349902,6167465,12517367,6.758609857807956e-05
DAL192,3p,24,C>G,328,407,735,6349899,6167465,12517364,5.871843305028119e-05
DAL192,3p,25,C>G,362,339,701,6349856,6167384,12517240,5.600276099203978e-05
DAL192,5p,1,C>G,2,11,13,6350003,6167708,12517711,1.0385285296968431e-06
DAL192,5p,2,C>G,34,34,68,6349992,6167694,12517686,5.432313927670018e-06
DAL192,5p,3,C>G,25,24,49,6350003,6167707,12517710,3.914454001570575e-06
DAL192,5p,4,C>G,139,166,305,6350003,6167708,12517711,2.4365477042887476e-05
DAL192,5p,5,C>G,216,215,431,6350003,6167707,12517710,3.443121785054934e-05
DAL192,5p,6,C>G,159,226,385,6350002,6167707,12517709,3.0756426755087535e-05
DAL192,5p,7,C>G,133,462,595,6350002,6167708,12517710,4.753265573335698e-05
DAL192,5p,8,C>G,269,293,562,6349926,6167708,12517634,4.4896663379037925e-05
DAL192,5p,9,C>G,415,337,752,6349914,6167708,12517622,6.007530823346479e-05
DAL192,5p,10,C>G,324,414,738,6349896,6167708,12517604,5.8956969720403365e-05
DAL192,5p,11,C>G,513,302,815,6349942,6167706,12517648,6.510807781142272e-05
DAL192,5p,12,C>G,525,350,875,6349906,6167700,12517606,6.990154507179728e-05
DAL192,5p,13,C>G,333,359,692,6349906,6167705,12517611,5.528211413503743e-05
DAL192,5p,14,C>G,364,461,825,6349889,6167679,12517568,6.590737114429896e-05
DAL192,5p,15,C>G,636,981,1617,6349890,6167649,12517539,0.0001291787467169
DAL192,5p,16,C>G,409,596,1005,6349904,6167639,12517543,8.028732156142783e-05
DAL192,5p,17,C>G,405,385,790,6349778,6167623,12517401,6.31121428481839e-05
DAL192,5p,18,C>G,390,378,768,6349859,6167631,12517490,6.135415326874636e-05
DAL192,5p,19,C>G,344,1008,1352,6349822,6167638,12517460,0.0001080091328432
DAL192,5p,20,C>G,398,645,1043,6349836,6167621,12517457,8.332363354633454e-05
DAL192,5p,21,C>G,458,517,975,6349784,6167624,12517408,7.789152514642009e-05
DAL192,5p,22,C>G,465,728,1193,6349783,6167584,12517367,9.530758345584978e-05
DAL192,5p,23,C>G,405,670,1075,6349801,6167567,12517368,8.588067395637805e-05
DAL192,5p,24,C>G,370,549,919,6349759,6167564,12517323,7.341825404681177e-05
DAL192,5p,25,C>G,391,534,925,6349777,6167551,12517328,7.389756024608447e-05
DAL193,3p,1,C>G,24,26,50,6484405,6362696,12847101,3.891928614868054e-06
DAL193,3p,2,C>G,24,129,153,6484402,6362696,12847098,1.1909304342505987e-05
DAL193,3p,3,C>G,76,161,237,6484405,6362696,12847101,1.8447741634474574e-05
DAL193,3p,4,C>G,154,265,419,6484405,6362696,12847101,3.26143617925943e-05
DAL193,3p,5,C>G,736,855,1591,6484405,6362696,12847101,0.0001238411685251
DAL193,3p,6,C>G,976,737,1713,6484405,6362696,12847101,0.0001333374743453
DAL193,3p,7,C>G,1136,852,1988,6484405,6362696,12847101,0.0001547430817271
DAL193,3p,8,C>G,1197,1060,2257,6484400,6362644,12847044,0.0001756824371427
DAL193,3p,9,C>G,1526,1291,2817,6484400,6362631,12847031,0.0002192724529114
DAL193,3p,10,C>G,1154,970,2124,6484393,6362640,12847033,0.000165330002655
DAL193,3p,11,C>G,1130,2147,3277,6484398,6362639,12847037,0.0002550782721338
DAL193,3p,12,C>G,1497,1260,2757,6484368,6362594,12846962,0.000214603265737
DAL193,3p,13,C>G,1343,1022,2365,6484385,6362543,12846928,0.000184090702462
DAL193,3p,14,C>G,1286,993,2279,6484363,6362486,12846849,0.0001773975859761
DAL193,3p,15,C>G,1194,1442,2636,6484332,6362438,12846770,0.0002051877631498
