Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,C>T,24,8,32,6350003,6167708,12517711,2.5563779192537675e-06
DAL192,3p,2,C>T,71,114,185,6350003,6167706,12517709,1.4779062206990114e-05
DAL192,3p,3,C>T,73,120,193,6350003,6167708,12517711,1.5418154325499286e-05
DAL192,3p,4,C>T,111,184,295,6350003,6167708,12517711,2.356660894312067e-05
DAL192,3p,5,C>T,395,425,820,6350003,6167708,12517711,6.550718418087779e-05
DAL192,3p,6,C>T,426,609,1035,6350003,6167708,12517711,8.268284832586406e-05
DAL192,3p,7,C>T,518,498,1016,6350003,6167708,12517711,8.116499893630712e-05
DAL192,3p,8,C>T,593,697,1290,6350003,6167618,12517621,0.0001030547258141
DAL192,3p,9,C>T,1847,536,2383,6350003,6167637,12517640,0.0001903713479537
DAL192,3p,10,C>T,607,630,1237,6350003,6167645,12517648,9.882048129169314e-05
DAL192,3p,11,C>T,792,610,1402,6349987,6167644,12517631,0.000112002023386
DAL192,3p,12,C>T,886,813,1699,6349997,6167646,12517643,0.0001357284274683
DAL192,3p,13,C>T,613,643,1256,6349992,6167621,12517613,0.0001003386188724
DAL192,3p,14,C>T,740,711,1451,6349967,6167610,12517577,0.0001159170021482
DAL192,3p,15,C>T,712,831,1543,6349968,6167615,12517583,0.0001232666082581
DAL192,3p,16,C>T,924,823,1747,6349943,6167587,12517530,0.0001395642750606
DAL192,3p,17,C>T,767,603,1370,6349922,6167606,12517528,0.0001094465296981
DAL192,3p,18,C>T,896,704,1600,6349922,6167564,12517486,0.0001278211934888
DAL192,3p,19,C>T,846,600,1446,6349921,6167519,12517440,0.0001155188281309
DAL192,3p,20,C>T,929,673,1602,6349910,6167516,12517426,0.0001279815834341
DAL192,3p,21,C>T,1015,1011,2026,6349882,6167507,12517389,0.0001618548404942
DAL192,3p,22,C>T,915,773,1688,6349894,6167488,12517382,0.000134852479536
DAL192,3p,23,C>T,801,632,1433,6349902,6167465,12517367,0.0001144809447545
DAL192,3p,24,C>T,910,880,1790,6349899,6167465,12517364,0.0001430013539591
DAL192,3p,25,C>T,761,749,1510,6349856,6167384,12517240,0.0001206336221083
DAL192,5p,1,C>T,5,6,11,6350003,6167708,12517711,8.787549097434826e-07
DAL192,5p,2,C>T,73,105,178,6349992,6167694,12517686,1.4219880575371518e-05
DAL192,5p,3,C>T,40,75,115,6350003,6167707,12517710,9.186983881237065e-06
DAL192,5p,4,C>T,142,125,267,6350003,6167708,12517711,2.1329778263773626e-05
DAL192,5p,5,C>T,512,427,939,6350003,6167707,12517710,7.501372056070959e-05
DAL192,5p,6,C>T,517,406,923,6350002,6167707,12517709,7.373553738946959e-05
DAL192,5p,7,C>T,887,642,1529,6350002,6167708,12517710,0.0001221469422122
DAL192,5p,8,C>T,655,594,1249,6349926,6167708,12517634,9.97792394313494e-05
DAL192,5p,9,C>T,839,514,1353,6349914,6167708,12517622,0.0001080876223934
DAL192,5p,10,C>T,762,556,1318,6349896,6167708,12517604,0.0001052917155711
DAL192,5p,11,C>T,527,447,974,6349942,6167706,12517648,7.781014452555304e-05
DAL192,5p,12,C>T,841,673,1514,6349906,6167700,12517606,0.0001209496448442
DAL192,5p,13,C>T,1015,794,1809,6349906,6167705,12517611,0.0001445163937431
DAL192,5p,14,C>T,847,713,1560,6349889,6167679,12517568,0.0001246248472546
DAL192,5p,15,C>T,1494,603,2097,6349890,6167649,12517539,0.0001675249424028
DAL192,5p,16,C>T,721,618,1339,6349904,6167639,12517543,0.0001069698741997
DAL192,5p,17,C>T,760,719,1479,6349778,6167623,12517401,0.0001181555180664
DAL192,5p,18,C>T,1068,799,1867,6349859,6167631,12517490,0.0001491513074905
DAL192,5p,19,C>T,890,621,1511,6349822,6167638,12517460,0.0001207113903299
DAL192,5p,20,C>T,750,551,1301,6349836,6167621,12517457,0.0001039348487476
DAL192,5p,21,C>T,1206,903,2109,6349784,6167624,12517408,0.0001684853605474
DAL192,5p,22,C>T,910,695,1605,6349783,6167584,12517367,0.0001282218536853
DAL192,5p,23,C>T,616,674,1290,6349801,6167567,12517368,0.0001030568087476
DAL192,5p,24,C>T,796,748,1544,6349759,6167564,12517323,0.0001233490579415
DAL192,5p,25,C>T,954,797,1751,6349777,6167551,12517328,0.0001398860843144
DAL193,3p,1,C>T,51,17,68,6484405,6362696,12847101,5.293022916220554e-06
DAL193,3p,2,C>T,222,331,553,6484402,6362696,12847098,4.3044740532064126e-05
DAL193,3p,3,C>T,331,300,631,6484405,6362696,12847101,4.911613911963485e-05
DAL193,3p,4,C>T,828,634,1462,6484405,6362696,12847101,0.0001137999926987
DAL193,3p,5,C>T,3171,3159,6330,6484405,6362696,12847101,0.0004927181626422
DAL193,3p,6,C>T,3598,2993,6591,6484405,6362696,12847101,0.0005130340300119
DAL193,3p,7,C>T,3574,3097,6671,6484405,6362696,12847101,0.0005192611157956
DAL193,3p,8,C>T,3889,3757,7646,6484400,6362644,12847044,0.0005951563643745
DAL193,3p,9,C>T,4381,5409,9790,6484400,6362631,12847031,0.0007620437749391
DAL193,3p,10,C>T,3915,3667,7582,6484393,6362640,12847033,0.0005901751789693
DAL193,3p,11,C>T,3903,3410,7313,6484398,6362639,12847037,0.0005692363149572
DAL193,3p,12,C>T,4163,4235,8398,6484368,6362594,12846962,0.0006536954028508
DAL193,3p,13,C>T,3863,3036,6899,6484385,6362543,12846928,0.0005370155417699
DAL193,3p,14,C>T,4072,3233,7305,6484363,6362486,12846849,0.0005686219243333
DAL193,3p,15,C>T,4571,4256,8827,6484332,6362438,12846770,0.0006870987804716
DAL193,3p,16,C>T,4063,3621,7684,6484341,6362460,12846801,0.0005981255567047
DAL193,3p,17,C>T,4303,3566,7869,6484294,6362445,12846739,0.0006125289849821
DAL193,3p,18,C>T,4837,4109,8946,6484244,6362380,12846624,0.0006963697232829
DAL193,3p,19,C>T,4436,3249,7685,6484265,6362400,12846665,0.0005982097299182
DAL193,3p,20,C>T,4107,3654,7761,6484261,6362382,12846643,0.0006041266967564
DAL193,3p,21,C>T,4901,4819,9720,6484248,6362443,12846691,0.0007566150692034
DAL193,3p,22,C>T,4114,4026,8140,6484224,6362407,12846631,0.0006336291592714
DAL193,3p,23,C>T,4159,4098,8257,6484218,6362399,12846617,0.0006427373058603
DAL193,3p,24,C>T,4613,4699,9312,6484164,6362319,12846483,0.0007248676544389
DAL193,3p,25,C>T,4031,4060,8091,6484128,6362355,12846483,0.000629822185574
DAL193,5p,1,C>T,50,80,130,6484405,6362696,12847101,1.0119014398656942e-05
DAL193,5p,2,C>T,219,365,584,6484386,6362681,12847067,4.545784652637057e-05
DAL193,5p,3,C>T,185,216,401,6484400,6362696,12847096,3.121327963922742e-05
DAL193,5p,4,C>T,440,419,859,6484403,6362696,12847099,6.686334401252765e-05
DAL193,5p,5,C>T,2513,2402,4915,6484403,6362696,12847099,0.0003825766423999
DAL193,5p,6,C>T,3017,2622,5639,6484404,6362696,12847100,0.0004389317433506
DAL193,5p,7,C>T,6192,5150,11342,6484404,6362696,12847100,0.000882845155716
DAL193,5p,8,C>T,4229,3572,7801,6484314,6362693,12847007,0.0006072231454376
DAL193,5p,9,C>T,5159,4286,9445,6484295,6362695,12846990,0.0007351916674645
DAL193,5p,10,C>T,4458,3576,8034,6484284,6362694,12846978,0.0006253610771342
DAL193,5p,11,C>T,3858,3389,7247,6484315,6362677,12846992,0.0005641009194992
DAL193,5p,12,C>T,5494,4634,10128,6484218,6362670,12846888,0.0007883621309689
DAL193,5p,13,C>T,4880,4052,8932,6484143,6362652,12846795,0.0006952706881366
DAL193,5p,14,C>T,4955,4703,9658,6484145,6362627,12846772,0.0007517841836065
DAL193,5p,15,C>T,6328,7741,14069,6484166,6362534,12846700,0.0010951450567071
DAL193,5p,16,C>T,4846,5063,9909,6484111,6362519,12846630,0.0007713306913953
DAL193,5p,17,C>T,5000,4064,9064,6484043,6362598,12846641,0.0007055540821916
DAL193,5p,18,C>T,4831,4841,9672,6483967,6362571,12846538,0.0007528876651437
DAL193,5p,19,C>T,4674,4457,9131,6483980,6362593,12846573,0.0007107732155493
DAL193,5p,20,C>T,4336,3868,8204,6483952,6362554,12846506,0.000638617224014
DAL193,5p,21,C>T,5163,4150,9313,6484003,6362532,12846535,0.0007249425623329
DAL193,5p,22,C>T,5375,3963,9338,6484010,6362499,12846509,0.0007268900835238
DAL193,5p,23,C>T,4474,4357,8831,6483966,6362463,12846429,0.0006874283896326
DAL193,5p,24,C>T,5109,4667,9776,6483905,6362426,12846331,0.0007609954935771
DAL193,5p,25,C>T,5243,4683,9926,6483942,6362403,12846345,0.0007726711371989
DAL195,3p,1,C>T,19,4,23,2363278,2267461,4630739,4.966809833160539e-06
DAL195,3p,2,C>T,26,45,71,2363278,2267460,4630738,1.5332329317702707e-05
DAL195,3p,3,C>T,55,62,117,2363278,2267461,4630739,2.5265945673034045e-05
DAL195,3p,4,C>T,140,97,237,2363278,2267461,4630739,5.117973610691511e-05
DAL195,3p,5,C>T,464,679,1143,2363278,2267461,4630739,0.0002468288538827
DAL195,3p,6,C>T,601,646,1247,2363278,2267461,4630739,0.0002692874722587
DAL195,3p,7,C>T,530,634,1164,2363278,2267461,4630739,0.0002513637672086
DAL195,3p,8,C>T,757,735,1492,2363278,2267413,4630691,0.0003221981341445
DAL195,3p,9,C>T,880,1002,1882,2363276,2267438,4630714,0.0004064168074296
DAL195,3p,10,C>T,784,676,1460,2363274,2267432,4630706,0.000315286697104
