Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,C>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,2,C>-,0,0,0,6350003,6167706,12517709,0.0
DAL192,3p,3,C>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,4,C>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,5,C>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,6,C>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,7,C>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,8,C>-,0,0,0,6350003,6167618,12517621,0.0
DAL192,3p,9,C>-,2,8,10,6350003,6167637,12517640,7.988726309432129e-07
DAL192,3p,10,C>-,4,7,11,6350003,6167645,12517648,8.787593324241104e-07
DAL192,3p,11,C>-,3,11,14,6349987,6167644,12517631,1.1184224874499017e-06
DAL192,3p,12,C>-,5,12,17,6349997,6167646,12517643,1.358083147122825e-06
DAL192,3p,13,C>-,8,12,20,6349992,6167621,12517613,1.5977487081602538e-06
DAL192,3p,14,C>-,0,15,15,6349967,6167610,12517577,1.1983149774113633e-06
DAL192,3p,15,C>-,1,9,10,6349968,6167615,12517583,7.988762686854164e-07
DAL192,3p,16,C>-,2,17,19,6349943,6167587,12517530,1.517871337236659e-06
DAL192,3p,17,C>-,4,19,23,6349922,6167606,12517528,1.8374234912835824e-06
DAL192,3p,18,C>-,27,41,68,6349922,6167564,12517486,5.432400723276223e-06
DAL192,3p,19,C>-,18,23,41,6349921,6167519,12517440,3.27543011989672e-06
DAL192,3p,20,C>-,10,17,27,6349910,6167516,12517426,2.1569929792275184e-06
DAL192,3p,21,C>-,14,38,52,6349882,6167507,12517389,4.154220980110149e-06
DAL192,3p,22,C>-,13,32,45,6349894,6167488,12517382,3.5950009354991324e-06
DAL192,3p,23,C>-,13,32,45,6349902,6167465,12517367,3.59500524351487e-06
DAL192,3p,24,C>-,36,57,93,6349899,6167465,12517364,7.429679283913131e-06
DAL192,3p,25,C>-,28,49,77,6349856,6167384,12517240,6.151515829368136e-06
DAL192,5p,1,C>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,2,C>-,0,0,0,6349992,6167694,12517686,0.0
DAL192,5p,3,C>-,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,4,C>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,5,C>-,2,0,2,6350003,6167707,12517710,1.597736327171663e-07
DAL192,5p,6,C>-,0,0,0,6350002,6167707,12517709,0.0
DAL192,5p,7,C>-,0,0,0,6350002,6167708,12517710,0.0
DAL192,5p,8,C>-,0,0,0,6349926,6167708,12517634,0.0
DAL192,5p,9,C>-,3,1,4,6349914,6167708,12517622,3.195495118801319e-07
DAL192,5p,10,C>-,3,1,4,6349896,6167708,12517604,3.195499713843001e-07
DAL192,5p,11,C>-,5,2,7,6349942,6167706,12517648,5.592104842698884e-07
DAL192,5p,12,C>-,7,10,17,6349906,6167700,12517606,1.3580871613949184e-06
DAL192,5p,13,C>-,7,3,10,6349906,6167705,12517611,7.988744817201941e-07
DAL192,5p,14,C>-,8,4,12,6349889,6167679,12517568,9.58652671189803e-07
DAL192,5p,15,C>-,13,6,19,6349890,6167649,12517539,1.517870245900572e-06
DAL192,5p,16,C>-,16,10,26,6349904,6167639,12517543,2.077084935917536e-06
DAL192,5p,17,C>-,8,4,12,6349778,6167623,12517401,9.58665460985072e-07
DAL192,5p,18,C>-,12,8,20,6349859,6167631,12517490,1.59776440804027e-06
DAL192,5p,19,C>-,21,18,39,6349822,6167638,12517460,3.115648062785901e-06
DAL192,5p,20,C>-,22,17,39,6349836,6167621,12517457,3.1156488094986066e-06
DAL192,5p,21,C>-,27,22,49,6349784,6167624,12517408,3.914548443255984e-06
DAL192,5p,22,C>-,30,29,59,6349783,6167584,12517367,4.713451319275052e-06
DAL192,5p,23,C>-,27,25,52,6349801,6167567,12517368,4.154227949517822e-06
DAL192,5p,24,C>-,51,53,104,6349759,6167564,12517323,8.30848576808316e-06
DAL192,5p,25,C>-,53,85,138,6349777,6167551,12517328,1.10247170961726e-05
DAL193,3p,1,C>-,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,2,C>-,0,0,0,6484402,6362696,12847098,0.0
DAL193,3p,3,C>-,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,4,C>-,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,5,C>-,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,6,C>-,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,7,C>-,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,8,C>-,0,0,0,6484400,6362644,12847044,0.0
DAL193,3p,9,C>-,1,9,10,6484400,6362631,12847031,7.783899641870562e-07
DAL193,3p,10,C>-,2,9,11,6484393,6362640,12847033,8.562288273097765e-07
DAL193,3p,11,C>-,1,14,15,6484398,6362639,12847037,1.1675844009789962e-06
DAL193,3p,12,C>-,2,12,14,6484368,6362594,12846962,1.0897518027997592e-06
DAL193,3p,13,C>-,2,10,12,6484385,6362543,12846928,9.34075445896482e-07
DAL193,3p,14,C>-,1,12,13,6484363,6362486,12846849,1.0119212890258149e-06
DAL193,3p,15,C>-,8,13,21,6484332,6362438,12846770,1.6346521343497236e-06
DAL193,3p,16,C>-,2,13,15,6484341,6362460,12846801,1.167605849892125e-06
DAL193,3p,17,C>-,57,38,95,6484294,6362445,12846739,7.394872737743018e-06
DAL193,3p,18,C>-,72,46,118,6484244,6362380,12846624,9.185292571807192e-06
DAL193,3p,19,C>-,61,61,122,6484265,6362400,12846665,9.496628113210703e-06
DAL193,3p,20,C>-,197,40,237,6484261,6362382,12846643,1.8448399321130043e-05
DAL193,3p,21,C>-,215,59,274,6484248,6362443,12846691,2.1328449481660296e-05
DAL193,3p,22,C>-,141,51,192,6484224,6362407,12846631,1.4945552651119192e-05
DAL193,3p,23,C>-,102,49,151,6484218,6362399,12846617,1.1754067238090776e-05
DAL193,3p,24,C>-,57,82,139,6484164,6362319,12846483,1.0820082041131412e-05
DAL193,3p,25,C>-,64,82,146,6484128,6362355,12846483,1.1364978259030118e-05
DAL193,5p,1,C>-,0,0,0,6484405,6362696,12847101,0.0
DAL193,5p,2,C>-,0,0,0,6484386,6362681,12847067,0.0
DAL193,5p,3,C>-,0,0,0,6484400,6362696,12847096,0.0
DAL193,5p,4,C>-,0,0,0,6484403,6362696,12847099,0.0
DAL193,5p,5,C>-,0,0,0,6484403,6362696,12847099,0.0
DAL193,5p,6,C>-,0,0,0,6484404,6362696,12847100,0.0
DAL193,5p,7,C>-,1,0,1,6484404,6362696,12847100,7.78385783562049e-08
DAL193,5p,8,C>-,1,0,1,6484314,6362693,12847007,7.7839141832802e-08
DAL193,5p,9,C>-,7,2,9,6484295,6362695,12846990,7.005532035130408e-07
DAL193,5p,10,C>-,4,4,8,6484284,6362694,12846978,6.227145403378133e-07
DAL193,5p,11,C>-,10,5,15,6484315,6362677,12846992,1.167588490753322e-06
DAL193,5p,12,C>-,5,3,8,6484218,6362670,12846888,6.227189028191108e-07
DAL193,5p,13,C>-,10,3,13,6484143,6362652,12846795,1.0119255425185814e-06
DAL193,5p,14,C>-,25,4,29,6484145,6362627,12846772,2.2573764055281742e-06
DAL193,5p,15,C>-,36,4,40,6484166,6362534,12846700,3.113640078775094e-06
DAL193,5p,16,C>-,47,8,55,6484111,6362519,12846630,4.281278436445978e-06
DAL193,5p,17,C>-,36,16,52,6484043,6362598,12846641,4.047750692184828e-06
DAL193,5p,18,C>-,42,52,94,6483967,6362571,12846538,7.317146456111366e-06
DAL193,5p,19,C>-,44,74,118,6483980,6362593,12846573,9.185329036778914e-06
DAL193,5p,20,C>-,44,24,68,6483952,6362554,12846506,5.293268068375946e-06
DAL193,5p,21,C>-,34,30,64,6484003,6362532,12846535,4.98188811224194e-06
DAL193,5p,22,C>-,44,36,80,6484010,6362499,12846509,6.227372743832585e-06
DAL193,5p,23,C>-,40,61,101,6483966,6362463,12846429,7.862107049359788e-06
DAL193,5p,24,C>-,74,71,145,6483905,6362426,12846331,1.1287269493523092e-05
DAL193,5p,25,C>-,117,121,238,6483942,6362403,12846345,1.852667042649096e-05
DAL195,3p,1,C>-,0,0,0,2363278,2267461,4630739,0.0
DAL195,3p,2,C>-,0,0,0,2363278,2267460,4630738,0.0
DAL195,3p,3,C>-,0,0,0,2363278,2267461,4630739,0.0
DAL195,3p,4,C>-,0,0,0,2363278,2267461,4630739,0.0
DAL195,3p,5,C>-,0,0,0,2363278,2267461,4630739,0.0
DAL195,3p,6,C>-,0,0,0,2363278,2267461,4630739,0.0
DAL195,3p,7,C>-,0,1,1,2363278,2267461,4630739,2.159482536156756e-07
DAL195,3p,8,C>-,0,0,0,2363278,2267413,4630691,0.0
DAL195,3p,9,C>-,0,5,5,2363276,2267438,4630714,1.0797470973158784e-06
DAL195,3p,10,C>-,5,9,14,2363274,2267432,4630706,3.0232970955184804e-06
DAL195,3p,11,C>-,1,5,6,2363274,2267431,4630705,1.2956990350281437e-06
DAL195,3p,12,C>-,2,7,9,2363273,2267414,4630687,1.943556107333534e-06
DAL195,3p,13,C>-,2,10,12,2363269,2267412,4630681,2.591411500813811e-06
DAL195,3p,14,C>-,5,9,14,2363250,2267410,4630660,3.0233271283143226e-06
DAL195,3p,15,C>-,2,7,9,2363254,2267411,4630665,1.9435653410471284e-06
DAL195,3p,16,C>-,3,16,19,2363259,2267394,4630653,4.103093019494227e-06
DAL195,3p,17,C>-,5,10,15,2363234,2267398,4630632,3.239298652970048e-06
DAL195,3p,18,C>-,5,13,18,2363236,2267374,4630610,3.887176851429941e-06
DAL195,3p,19,C>-,6,23,29,2363215,2267369,4630584,6.262708980120002e-06
DAL195,3p,20,C>-,5,15,20,2363222,2267380,4630602,4.319092852290048e-06
DAL195,3p,21,C>-,2,13,15,2363235,2267382,4630617,3.2393091460598014e-06
DAL195,3p,22,C>-,8,14,22,2363231,2267383,4630614,4.750989825539334e-06
DAL195,3p,23,C>-,9,20,29,2363219,2267370,4630589,6.26270221779562e-06
DAL195,3p,24,C>-,17,24,41,2363198,2267373,4630571,8.854199622465566e-06
DAL195,3p,25,C>-,18,24,42,2363180,2267377,4630557,9.070183133476169e-06
DAL195,5p,1,C>-,0,0,0,2363278,2267461,4630739,0.0
DAL195,5p,2,C>-,0,0,0,2363264,2267447,4630711,0.0
DAL195,5p,3,C>-,0,0,0,2363278,2267459,4630737,0.0
DAL195,5p,4,C>-,0,0,0,2363278,2267461,4630739,0.0
DAL195,5p,5,C>-,0,0,0,2363277,2267461,4630738,0.0
DAL195,5p,6,C>-,0,0,0,2363277,2267461,4630738,0.0
DAL195,5p,7,C>-,0,0,0,2363277,2267461,4630738,0.0
DAL195,5p,8,C>-,1,0,1,2363212,2267460,4630672,2.1595137811531458e-07
DAL195,5p,9,C>-,2,0,2,2363181,2267461,4630642,4.3190555434861946e-07
DAL195,5p,10,C>-,4,1,5,2363146,2267458,4630604,1.0797727467086367e-06
DAL195,5p,11,C>-,3,0,3,2362948,2267450,4630398,6.478924705824424e-07
DAL195,5p,12,C>-,1,1,2,2362864,2267454,4630318,4.3193577633328853e-07
DAL195,5p,13,C>-,2,1,3,2363073,2267445,4630518,6.478756804314333e-07
DAL195,5p,14,C>-,3,2,5,2363094,2267434,4630528,1.0797904688191069e-06
DAL195,5p,15,C>-,7,5,12,2363178,2267432,4630610,2.5914512342866275e-06
DAL195,5p,16,C>-,15,3,18,2363170,2267429,4630599,3.8871860854286885e-06
DAL195,5p,17,C>-,11,10,21,2363159,2267431,4630590,4.535059247309738e-06
DAL195,5p,18,C>-,17,3,20,2363182,2267420,4630602,4.319092852290048e-06
DAL195,5p,19,C>-,13,2,15,2363138,2267420,4630558,3.2393504195390705e-06
DAL195,5p,20,C>-,15,7,22,2363110,2267401,4630511,4.751095505442056e-06
DAL195,5p,21,C>-,14,6,20,2363086,2267400,4630486,4.319201051466304e-06
DAL195,5p,22,C>-,22,5,27,2363094,2267388,4630482,5.830926456468246e-06
DAL195,5p,23,C>-,21,10,31,2363068,2267398,4630466,6.694790545919136e-06
DAL195,5p,24,C>-,22,22,44,2363067,2267402,4630469,9.502277199134687e-06
DAL195,5p,25,C>-,51,20,71,2363135,2267374,4630509,1.5333087572014223e-05
DAL212,3p,1,C>-,0,0,0,4131322,4008153,8139475,0.0
DAL212,3p,2,C>-,0,0,0,4131322,4008153,8139475,0.0
DAL212,3p,3,C>-,0,0,0,4131322,4008153,8139475,0.0
DAL212,3p,4,C>-,0,0,0,4131322,4008153,8139475,0.0
