Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,G>A,21,9,30,6350003,6167708,12517711,2.396604299300407e-06
DAL192,3p,2,G>A,121,41,162,6350003,6167706,12517709,1.294166528395891e-05
DAL192,3p,3,G>A,121,60,181,6350003,6167708,12517711,1.4459512605779125e-05
DAL192,3p,4,G>A,147,116,263,6350003,6167708,12517711,2.1010231023866904e-05
DAL192,3p,5,G>A,373,616,989,6350003,6167708,12517711,7.900805506693676e-05
DAL192,3p,6,G>A,384,726,1110,6350003,6167708,12517711,8.867435907411507e-05
DAL192,3p,7,G>A,342,664,1006,6350003,6167708,12517711,8.036613083654033e-05
DAL192,3p,8,G>A,482,745,1227,6350003,6167618,12517621,9.802182059993668e-05
DAL192,3p,9,G>A,518,1010,1528,6350003,6167637,12517640,0.0001220677380081
DAL192,3p,10,G>A,896,605,1501,6350003,6167645,12517648,0.0001199107052698
DAL192,3p,11,G>A,896,886,1782,6349987,6167644,12517631,0.0001423592051882
DAL192,3p,12,G>A,774,1435,2209,6349997,6167646,12517643,0.000176470921882
DAL192,3p,13,G>A,683,765,1448,6349992,6167621,12517613,0.0001156770064708
DAL192,3p,14,G>A,454,1052,1506,6349967,6167610,12517577,0.0001203108237321
DAL192,3p,15,G>A,636,1078,1714,6349968,6167615,12517583,0.0001369273924526
DAL192,3p,16,G>A,530,745,1275,6349943,6167587,12517530,0.000101857155525
DAL192,3p,17,G>A,548,714,1262,6349922,6167606,12517528,0.0001008186280869
DAL192,3p,18,G>A,687,1077,1764,6349922,6167564,12517486,0.0001409228658214
DAL192,3p,19,G>A,671,949,1620,6349921,6167519,12517440,0.0001294194340056
DAL192,3p,20,G>A,588,662,1250,6349910,6167516,12517426,9.986078607534808e-05
DAL192,3p,21,G>A,756,796,1552,6349882,6167507,12517389,0.0001239875184832
DAL192,3p,22,G>A,912,631,1543,6349894,6167488,12517382,0.0001232685876327
DAL192,3p,23,G>A,858,670,1528,6349902,6167465,12517367,0.0001220704002686
DAL192,3p,24,G>A,872,818,1690,6349899,6167465,12517364,0.0001350124515033
DAL192,3p,25,G>A,722,780,1502,6349856,6167384,12517240,0.0001199945035806
DAL192,5p,1,G>A,5,15,20,6350003,6167708,12517711,1.5977361995336048e-06
DAL192,5p,2,G>A,157,146,303,6349992,6167694,12517686,2.4205751765941405e-05
DAL192,5p,3,G>A,115,59,174,6350003,6167707,12517710,1.390030604639347e-05
DAL192,5p,4,G>A,241,80,321,6350003,6167708,12517711,2.564366600251436e-05
DAL192,5p,5,G>A,683,611,1294,6350003,6167707,12517710,0.000103373540368
DAL192,5p,6,G>A,932,750,1682,6350002,6167707,12517709,0.0001343696358494
DAL192,5p,7,G>A,398,343,741,6350002,6167708,12517710,5.919613092171012e-05
DAL192,5p,8,G>A,569,467,1036,6349926,6167708,12517634,8.276324423609127e-05
DAL192,5p,9,G>A,553,1386,1939,6349914,6167708,12517622,0.0001549016258838
DAL192,5p,10,G>A,1067,1038,2105,6349896,6167708,12517604,0.0001681631724409
DAL192,5p,11,G>A,945,752,1697,6349942,6167706,12517648,0.0001355685988294
DAL192,5p,12,G>A,650,678,1328,6349906,6167700,12517606,0.0001060905735489
DAL192,5p,13,G>A,626,549,1175,6349906,6167705,12517611,9.38677516021228e-05
DAL192,5p,14,G>A,784,679,1463,6349889,6167679,12517568,0.0001168757381625
DAL192,5p,15,G>A,785,686,1471,6349890,6167649,12517539,0.0001175151121957
DAL192,5p,16,G>A,736,1089,1825,6349904,6167639,12517543,0.0001457953849249
DAL192,5p,17,G>A,689,1221,1910,6349778,6167623,12517401,0.0001525875858734
DAL192,5p,18,G>A,789,1083,1872,6349859,6167631,12517490,0.0001495507485925
DAL192,5p,19,G>A,874,756,1630,6349822,6167638,12517460,0.000130218111342
DAL192,5p,20,G>A,881,775,1656,6349836,6167621,12517457,0.0001322952417571
DAL192,5p,21,G>A,957,1098,2055,6349784,6167624,12517408,0.0001641713683855
DAL192,5p,22,G>A,857,813,1670,6349783,6167584,12517367,0.0001334146390371
DAL192,5p,23,G>A,869,898,1767,6349801,6167567,12517368,0.0001411638612845
DAL192,5p,24,G>A,975,1075,2050,6349759,6167564,12517323,0.0001637730367747
DAL192,5p,25,G>A,878,859,1737,6349777,6167551,12517328,0.0001387676347539
DAL193,3p,1,G>A,75,30,105,6484405,6362696,12847101,8.173050091222915e-06
DAL193,3p,2,G>A,123,116,239,6484402,6362696,12847098,1.860342312326099e-05
DAL193,3p,3,G>A,404,293,697,6484405,6362696,12847101,5.425348489126068e-05
DAL193,3p,4,G>A,493,470,963,6484405,6362696,12847101,7.495854512235873e-05
DAL193,3p,5,G>A,3048,3377,6425,6484405,6362696,12847101,0.0005001128270105
DAL193,3p,6,G>A,3067,3614,6681,6484405,6362696,12847101,0.0005200395015186
DAL193,3p,7,G>A,3123,3328,6451,6484405,6362696,12847101,0.0005021366298902
DAL193,3p,8,G>A,3414,3241,6655,6484400,6362644,12847044,0.0005180179969804
DAL193,3p,9,G>A,4008,4632,8640,6484400,6362631,12847031,0.0006725289290576
DAL193,3p,10,G>A,4139,4160,8299,6484393,6362640,12847033,0.000645985730713
DAL193,3p,11,G>A,3520,4512,8032,6484398,6362639,12847037,0.0006252025272442
DAL193,3p,12,G>A,5166,4921,10087,6484368,6362594,12846962,0.0007851661739172
DAL193,3p,13,G>A,4027,4408,8435,6484385,6362543,12846928,0.0006565771988447
DAL193,3p,14,G>A,4010,4208,8218,6484363,6362486,12846849,0.0006396899348626
DAL193,3p,15,G>A,4332,5345,9677,6484332,6362438,12846770,0.0007532632716239
DAL193,3p,16,G>A,3805,4002,7807,6484341,6362460,12846801,0.0006076999246738
DAL193,3p,17,G>A,3799,4510,8309,6484294,6362445,12846739,0.0006467789218727
DAL193,3p,18,G>A,4138,5138,9276,6484244,6362380,12846624,0.000722057405899
DAL193,3p,19,G>A,3938,4049,7987,6484265,6362400,12846665,0.0006217177765591
DAL193,3p,20,G>A,3721,4114,7835,6484261,6362382,12846643,0.0006098869564601
DAL193,3p,21,G>A,4409,4643,9052,6484248,6362443,12846691,0.0007046172434598
DAL193,3p,22,G>A,3703,3870,7573,6484224,6362407,12846631,0.0005894930740985
DAL193,3p,23,G>A,4217,4441,8658,6484218,6362399,12846617,0.0006739517493204
DAL193,3p,24,G>A,4328,4783,9111,6484164,6362319,12846483,0.0007092213487535
DAL193,3p,25,G>A,3843,3960,7803,6484128,6362355,12846483,0.0006074035983233
DAL193,5p,1,G>A,30,262,292,6484405,6362696,12847101,2.272886311082944e-05
DAL193,5p,2,G>A,337,146,483,6484386,6362681,12847067,3.7596129918214015e-05
DAL193,5p,3,G>A,332,226,558,6484400,6362696,12847096,4.343394024610698e-05
DAL193,5p,4,G>A,946,780,1726,6484403,6362696,12847099,0.0001343493967003
DAL193,5p,5,G>A,3499,3859,7358,6484403,6362696,12847099,0.0005727363041259
DAL193,5p,6,G>A,3929,4902,8831,6484404,6362696,12847100,0.0006873924854636
DAL193,5p,7,G>A,2232,2332,4564,6484404,6362696,12847100,0.0003552552716177
DAL193,5p,8,G>A,3448,3689,7137,6484314,6362693,12847007,0.0005555379552607
DAL193,5p,9,G>A,3677,3955,7632,6484295,6362695,12846990,0.000594069116579
DAL193,5p,10,G>A,5808,6085,11893,6484284,6362694,12846978,0.0009257430035297
DAL193,5p,11,G>A,3282,3423,6705,6484315,6362677,12846992,0.0005219120553667
DAL193,5p,12,G>A,3897,3526,7423,6484218,6362670,12846888,0.0005778053019532
DAL193,5p,13,G>A,4304,4519,8823,6484143,6362652,12846795,0.0006867860816647
DAL193,5p,14,G>A,3860,3971,7831,6484145,6362627,12846772,0.0006095694700583
DAL193,5p,15,G>A,4174,4227,8401,6484166,6362534,12846700,0.0006539422575447
DAL193,5p,16,G>A,3908,4427,8335,6484111,6362519,12846630,0.0006488082866868
DAL193,5p,17,G>A,4079,4290,8369,6484043,6362598,12846641,0.0006514543373633
DAL193,5p,18,G>A,4647,4926,9573,6483967,6362571,12846538,0.0007451813087697
DAL193,5p,19,G>A,4669,4306,8975,6483980,6362593,12846573,0.0006986298991956
DAL193,5p,20,G>A,4008,4590,8598,6483952,6362554,12846506,0.0006692870419396
DAL193,5p,21,G>A,5573,4513,10086,6484003,6362532,12846535,0.0007851144296886
DAL193,5p,22,G>A,5626,4194,9820,6484010,6362499,12846509,0.0007644100043054
DAL193,5p,23,G>A,3586,4533,8119,6483966,6362463,12846429,0.0006320044270668
DAL193,5p,24,G>A,5108,4638,9746,6483905,6362426,12846331,0.0007586601964405
DAL193,5p,25,G>A,3863,4301,8164,6483942,6362403,12846345,0.0006355115015204
DAL195,3p,1,G>A,9,5,14,2363278,2267461,4630739,3.0232755506194584e-06
DAL195,3p,2,G>A,55,15,70,2363278,2267460,4630738,1.5116381017453374e-05
DAL195,3p,3,G>A,78,52,130,2363278,2267461,4630739,2.8073272970037823e-05
DAL195,3p,4,G>A,145,77,222,2363278,2267461,4630739,4.794051230267999e-05
DAL195,3p,5,G>A,647,511,1158,2363278,2267461,4630739,0.0002500680776869
DAL195,3p,6,G>A,776,531,1307,2363278,2267461,4630739,0.0002822443674756
DAL195,3p,7,G>A,797,533,1330,2363278,2267461,4630739,0.0002872111773088
DAL195,3p,8,G>A,808,799,1607,2363278,2267413,4630691,0.0003470324407307
DAL195,3p,9,G>A,1271,850,2121,2363276,2267438,4630714,0.0004580287186813
DAL195,3p,10,G>A,752,738,1490,2363274,2267432,4630706,0.0003217651908801
DAL195,3p,11,G>A,832,704,1536,2363274,2267431,4630705,0.0003316989529672
DAL195,3p,12,G>A,890,751,1641,2363273,2267414,4630687,0.0003543750635704
DAL195,3p,13,G>A,637,595,1232,2363269,2267412,4630681,0.0002660515807502
DAL195,3p,14,G>A,872,683,1555,2363250,2267410,4630660,0.0003358052631806
DAL195,3p,15,G>A,859,807,1666,2363254,2267411,4630665,0.0003597755397982
DAL195,3p,16,G>A,648,598,1246,2363259,2267394,4630653,0.0002690765211731
DAL195,3p,17,G>A,805,697,1502,2363234,2267398,4630632,0.000324361771784
DAL195,3p,18,G>A,781,816,1597,2363236,2267374,4630610,0.0003448789684296
DAL195,3p,19,G>A,826,632,1458,2363215,2267369,4630584,0.0003148630928625
DAL195,3p,20,G>A,828,697,1525,2363222,2267380,4630602,0.0003293308299871
DAL195,3p,21,G>A,1221,757,1978,2363235,2267382,4630617,0.0004271568993937
DAL195,3p,22,G>A,851,733,1584,2363231,2267383,4630614,0.0003420712674388
DAL195,3p,23,G>A,773,784,1557,2363219,2267370,4630589,0.0003362423225209
DAL195,3p,24,G>A,1107,807,1914,2363198,2267373,4630571,0.0004133399531072
DAL195,3p,25,G>A,712,746,1458,2363180,2267377,4630557,0.0003148649287763
DAL195,5p,1,G>A,4,6,10,2363278,2267461,4630739,2.159482536156756e-06
DAL195,5p,2,G>A,61,29,90,2363264,2267447,4630711,1.9435460342914944e-05
DAL195,5p,3,G>A,60,39,99,2363278,2267459,4630737,2.1378886341418223e-05
DAL195,5p,4,G>A,132,83,215,2363278,2267461,4630739,4.6428874527370256e-05
DAL195,5p,5,G>A,870,697,1567,2363277,2267461,4630738,0.0003383909864907
DAL195,5p,6,G>A,1071,767,1838,2363277,2267461,4630738,0.0003969129758582
DAL195,5p,7,G>A,463,431,894,2363277,2267461,4630738,0.0001930577804229
DAL195,5p,8,G>A,577,655,1232,2363212,2267460,4630672,0.000266052097838
DAL195,5p,9,G>A,650,639,1289,2363181,2267461,4630642,0.0002783631297776
DAL195,5p,10,G>A,1089,1184,2273,2363146,2267458,4630604,0.0004908646906537
DAL195,5p,11,G>A,800,763,1563,2362948,2267450,4630398,0.0003375519771734
DAL195,5p,12,G>A,798,741,1539,2362864,2267454,4630318,0.0003323745798884
DAL195,5p,13,G>A,823,842,1665,2363073,2267445,4630518,0.0003595710026394
DAL195,5p,14,G>A,859,949,1808,2363094,2267434,4630528,0.0003904522335249
DAL195,5p,15,G>A,782,1091,1873,2363178,2267432,4630610,0.0004044823468182
DAL195,5p,16,G>A,1291,825,2116,2363170,2267429,4630599,0.0004569603198203
