Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,G>C,21,4,25,6350003,6167708,12517711,1.997170249417006e-06
DAL192,3p,2,G>C,54,7,61,6350003,6167706,12517709,4.873096187169713e-06
DAL192,3p,3,G>C,37,23,60,6350003,6167708,12517711,4.793208598600814e-06
DAL192,3p,4,G>C,95,39,134,6350003,6167708,12517711,1.0704832536875153e-05
DAL192,3p,5,G>C,159,108,267,6350003,6167708,12517711,2.1329778263773626e-05
DAL192,3p,6,G>C,211,164,375,6350003,6167708,12517711,2.995755374125509e-05
DAL192,3p,7,G>C,252,135,387,6350003,6167708,12517711,3.091619546097525e-05
DAL192,3p,8,G>C,228,260,488,6350003,6167618,12517621,3.8985043563789e-05
DAL192,3p,9,G>C,284,343,627,6350003,6167637,12517640,5.008931396013945e-05
DAL192,3p,10,G>C,236,330,566,6350003,6167645,12517648,4.52161620138224e-05
DAL192,3p,11,G>C,249,261,510,6349987,6167644,12517631,4.0742533471389273e-05
DAL192,3p,12,G>C,420,288,708,6349997,6167646,12517643,5.656016871546824e-05
DAL192,3p,13,G>C,301,337,638,6349992,6167621,12517613,5.09681837903121e-05
DAL192,3p,14,G>C,419,369,788,6349967,6167610,12517577,6.295148014667695e-05
DAL192,3p,15,G>C,378,532,910,6349968,6167615,12517583,7.269774045037289e-05
DAL192,3p,16,G>C,392,729,1121,6349943,6167587,12517530,8.95544088969629e-05
DAL192,3p,17,G>C,338,284,622,6349922,6167606,12517528,4.969032224253862e-05
DAL192,3p,18,G>C,498,310,808,6349922,6167564,12517486,6.454970271187042e-05
DAL192,3p,19,G>C,506,295,801,6349921,6167519,12517440,6.399072014725055e-05
DAL192,3p,20,G>C,485,304,789,6349910,6167516,12517426,6.30321281707597e-05
DAL192,3p,21,G>C,617,496,1113,6349882,6167507,12517389,8.891630674735762e-05
DAL192,3p,22,G>C,553,404,957,6349894,6167488,12517382,7.645368656161489e-05
DAL192,3p,23,G>C,427,360,787,6349902,6167465,12517367,6.287264725880451e-05
DAL192,3p,24,G>C,514,429,943,6349899,6167465,12517364,7.533535015838799e-05
DAL192,3p,25,G>C,450,450,900,6349856,6167384,12517240,7.190083436923795e-05
DAL192,5p,1,G>C,5,8,13,6350003,6167708,12517711,1.0385285296968431e-06
DAL192,5p,2,G>C,154,36,190,6349992,6167694,12517686,1.5178524209666227e-05
DAL192,5p,3,G>C,38,30,68,6350003,6167707,12517710,5.432303512383655e-06
DAL192,5p,4,G>C,108,114,222,6350003,6167708,12517711,1.7734871814823014e-05
DAL192,5p,5,G>C,167,153,320,6350003,6167707,12517710,2.556378123474661e-05
DAL192,5p,6,G>C,190,146,336,6350002,6167707,12517709,2.6841972440803666e-05
DAL192,5p,7,G>C,141,149,290,6350002,6167708,12517710,2.316717674398912e-05
DAL192,5p,8,G>C,331,387,718,6349926,6167708,12517634,5.735908239528333e-05
DAL192,5p,9,G>C,294,453,747,6349914,6167708,12517622,5.967587134361463e-05
DAL192,5p,10,G>C,324,359,683,6349896,6167708,12517604,5.4563157613869234e-05
DAL192,5p,11,G>C,379,412,791,6349942,6167706,12517648,6.319078472249739e-05
DAL192,5p,12,G>C,332,364,696,6349906,6167700,12517606,5.56016861371096e-05
DAL192,5p,13,G>C,275,507,782,6349906,6167705,12517611,6.247198447051918e-05
DAL192,5p,14,G>C,322,254,576,6349889,6167679,12517568,4.601532821711055e-05
DAL192,5p,15,G>C,335,289,624,6349890,6167649,12517539,4.9850054391681946e-05
DAL192,5p,16,G>C,317,296,613,6349904,6167639,12517543,4.897127175836344e-05
DAL192,5p,17,G>C,407,286,693,6349778,6167623,12517401,5.536293037188791e-05
DAL192,5p,18,G>C,523,270,793,6349859,6167631,12517490,6.335135877879671e-05
DAL192,5p,19,G>C,352,257,609,6349822,6167638,12517460,4.865204282657984e-05
DAL192,5p,20,G>C,371,222,593,6349836,6167621,12517457,4.737383959058138e-05
DAL192,5p,21,G>C,344,306,650,6349784,6167624,12517408,5.192768343094673e-05
DAL192,5p,22,G>C,386,374,760,6349783,6167584,12517367,6.0715644112695584e-05
DAL192,5p,23,G>C,380,521,901,6349801,6167567,12517368,7.197998812529919e-05
DAL192,5p,24,G>C,386,528,914,6349759,6167564,12517323,7.301880761565392e-05
DAL192,5p,25,G>C,403,419,822,6349777,6167551,12517328,6.566896705111506e-05
DAL193,3p,1,G>C,25,15,40,6484405,6362696,12847101,3.113542891894444e-06
