Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,G>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,2,G>-,0,0,0,6350003,6167706,12517709,0.0
DAL192,3p,3,G>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,4,G>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,5,G>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,6,G>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,7,G>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,8,G>-,0,0,0,6350003,6167618,12517621,0.0
DAL192,3p,9,G>-,9,4,13,6350003,6167637,12517640,1.0385344202261769e-06
DAL192,3p,10,G>-,3,5,8,6350003,6167645,12517648,6.390976963084439e-07
DAL192,3p,11,G>-,9,2,11,6349987,6167644,12517631,8.787605258534941e-07
DAL192,3p,12,G>-,2,2,4,6349997,6167646,12517643,3.195489757936059e-07
DAL192,3p,13,G>-,2,4,6,6349992,6167621,12517613,4.793246124480761e-07
DAL192,3p,14,G>-,5,6,11,6349967,6167610,12517577,8.78764316768333e-07
DAL192,3p,15,G>-,11,7,18,6349968,6167615,12517583,1.437977283633749e-06
DAL192,3p,16,G>-,4,9,13,6349943,6167587,12517530,1.0385435465303458e-06
DAL192,3p,17,G>-,6,10,16,6349922,6167606,12517528,1.2782076461103183e-06
DAL192,3p,18,G>-,15,11,26,6349922,6167564,12517486,2.07709439419385e-06
DAL192,3p,19,G>-,33,32,65,6349921,6167519,12517440,5.192755068128946e-06
DAL192,3p,20,G>-,27,27,54,6349910,6167516,12517426,4.313985958455037e-06
DAL192,3p,21,G>-,27,10,37,6349882,6167507,12517389,2.9558880050783755e-06
DAL192,3p,22,G>-,23,21,44,6349894,6167488,12517382,3.5151120258213737e-06
DAL192,3p,23,G>-,21,20,41,6349902,6167465,12517367,3.275449221869104e-06
DAL192,3p,24,G>-,45,43,88,6349899,6167465,12517364,7.030234161122102e-06
DAL192,3p,25,G>-,61,50,111,6349856,6167384,12517240,8.867769572206013e-06
DAL192,5p,1,G>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,2,G>-,0,0,0,6349992,6167694,12517686,0.0
DAL192,5p,3,G>-,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,4,G>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,5,G>-,1,0,1,6350003,6167707,12517710,7.988681635858315e-08
DAL192,5p,6,G>-,0,0,0,6350002,6167707,12517709,0.0
DAL192,5p,7,G>-,1,0,1,6350002,6167708,12517710,7.988681635858315e-08
DAL192,5p,8,G>-,1,0,1,6349926,6167708,12517634,7.988730138618847e-08
DAL192,5p,9,G>-,12,0,12,6349914,6167708,12517622,9.586485356403957e-07
DAL192,5p,10,G>-,10,1,11,6349896,6167708,12517604,8.787624213068252e-07
DAL192,5p,11,G>-,21,6,27,6349942,6167706,12517648,2.156954725040998e-06
DAL192,5p,12,G>-,18,1,19,6349906,6167700,12517606,1.5178621215590263e-06
DAL192,5p,13,G>-,0,2,2,6349906,6167705,12517611,1.5977489634403882e-07
DAL192,5p,14,G>-,7,1,8,6349889,6167679,12517568,6.39101780793202e-07
DAL192,5p,15,G>-,8,3,11,6349890,6167649,12517539,8.787669844687522e-07
DAL192,5p,16,G>-,10,5,15,6349904,6167639,12517543,1.198318232260117e-06
DAL192,5p,17,G>-,23,3,26,6349778,6167623,12517401,2.077108498800989e-06
