Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,S,308440,261620,570060,6350003,6167708,12517711,0.0455402748953063
DAL192,3p,2,S,297870,251054,548924,6350003,6167706,12517709,0.0438517942859991
DAL192,3p,3,S,274944,227758,502702,6350003,6167708,12517711,0.0401592591488971
DAL192,3p,4,S,248310,202188,450498,6350003,6167708,12517711,0.0359888481208744
DAL192,3p,5,S,218020,172173,390193,6350003,6167708,12517711,0.0311712740452307
DAL192,3p,6,S,196223,152097,348320,6350003,6167708,12517711,0.0278261736510772
DAL192,3p,7,S,180736,138532,319268,6350003,6167708,12517711,0.0255053020476347
DAL192,3p,8,S,168729,128710,297439,6350003,6167618,12517621,0.0237616237142824
DAL192,3p,9,S,159164,121582,280746,6350003,6167637,12517640,0.0224280295646783
DAL192,3p,10,S,149427,113970,263397,6350003,6167645,12517648,0.0210420519893194
DAL192,3p,11,S,141182,107750,248932,6349987,6167644,12517631,0.0198865104747056
DAL192,3p,12,S,131632,101259,232891,6349997,6167646,12517643,0.0186050201303871
DAL192,3p,13,S,123747,94947,218694,6349992,6167621,12517613,0.0174709027991199
DAL192,3p,14,S,116337,88589,204926,6349967,6167610,12517577,0.0163710596707334
DAL192,3p,15,S,108491,82326,190817,6349968,6167615,12517583,0.0152439172961745
DAL192,3p,16,S,101606,76353,177959,6349943,6167587,12517530,0.0142167823843841
DAL192,3p,17,S,94189,70543,164732,6349922,6167606,12517528,0.0131601063724403
DAL192,3p,18,S,85934,65234,151168,6349922,6167564,12517486,0.0120765463608267
DAL192,3p,19,S,78112,59737,137849,6349921,6167519,12517440,0.0110125552828693
DAL192,3p,20,S,70509,54435,124944,6349910,6167516,12517426,0.0099816048443186
DAL192,3p,21,S,62795,49517,112312,6349882,6167507,12517389,0.0089724782061179
DAL192,3p,22,S,55573,43772,99345,6349894,6167488,12517382,0.0079365637319369
DAL192,3p,23,S,48879,38367,87246,6349902,6167465,12517367,0.0069699961661266
DAL192,3p,24,S,41357,32906,74263,6349899,6167465,12517364,0.005932798630766
DAL192,3p,25,S,34510,26661,61171,6349856,6167384,12517240,0.0048869399324451
DAL192,5p,1,S,300774,347902,648676,6350003,6167708,12517711,0.051820656348433
DAL192,5p,2,S,287189,326611,613800,6349992,6167694,12517686,0.0490346218941743
DAL192,5p,3,S,274138,304315,578453,6350003,6167707,12517710,0.0462107685830715
DAL192,5p,4,S,260693,291817,552510,6350003,6167708,12517711,0.0441382613802156
DAL192,5p,5,S,250241,280843,531084,6350003,6167707,12517710,0.0424266099789817
DAL192,5p,6,S,229455,267991,497446,6350002,6167707,12517709,0.0397393804249643
DAL192,5p,7,S,216790,251560,468350,6350002,6167708,12517710,0.0374149904415424
DAL192,5p,8,S,206386,232719,439105,6349926,6167708,12517634,0.0350789134751822
DAL192,5p,9,S,198430,221564,419994,6349914,6167708,12517622,0.033552219423146
DAL192,5p,10,S,189224,213862,403086,6349896,6167708,12517604,0.0322015299413529
DAL192,5p,11,S,179958,202476,382434,6349942,6167706,12517648,0.0305515860487529
DAL192,5p,12,S,170622,190861,361483,6349906,6167700,12517606,0.0288779659625011
DAL192,5p,13,S,160348,176921,337269,6349906,6167705,12517611,0.0269435597575288
DAL192,5p,14,S,149764,165834,315598,6349889,6167679,12517568,0.0252124054768466
DAL192,5p,15,S,141543,155457,297000,6349890,6167649,12517539,0.0237267085806563
DAL192,5p,16,S,132271,145399,277670,6349904,6167639,12517543,0.0221824682367777
DAL192,5p,17,S,123822,134701,258523,6349778,6167623,12517401,0.0206530892475203
DAL192,5p,18,S,115734,124429,240163,6349859,6167631,12517490,0.0191861946764087
DAL192,5p,19,S,105617,114290,219907,6349822,6167638,12517460,0.0175680209882835
DAL192,5p,20,S,95563,103180,198743,6349836,6167621,12517457,0.0158772664447738
DAL192,5p,21,S,87105,90854,177959,6349784,6167624,12517408,0.014216920947212
DAL192,5p,22,S,78758,80463,159221,6349783,6167584,12517367,0.0127200073306151
DAL192,5p,23,S,69181,70091,139272,6349801,6167567,12517368,0.0111263006727931
DAL192,5p,24,S,60128,59953,120081,6349759,6167564,12517323,0.009593185379973
DAL192,5p,25,S,51769,50246,102015,6349777,6167551,12517328,0.0081499022794641
DAL193,3p,1,S,382912,346723,729635,6484405,6362696,12847101,0.056793746698185
DAL193,3p,2,S,354005,317417,671422,6484402,6362696,12847098,0.0522625420931637
DAL193,3p,3,S,313264,276388,589652,6484405,6362696,12847101,0.0458976698322835
DAL193,3p,4,S,268029,231070,499099,6484405,6362696,12847101,0.0388491535950406
DAL193,3p,5,S,220220,182467,402687,6484405,6362696,12847101,0.0313445811627074
DAL193,3p,6,S,195355,158874,354229,6484405,6362696,12847101,0.0275726796263219
DAL193,3p,7,S,177268,141351,318619,6484405,6362696,12847101,0.0248008480668128
