Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,T>A,55,9,64,6350003,6167708,12517711,5.112755838507535e-06
DAL192,3p,2,T>A,41,7,48,6350003,6167706,12517709,3.8345674915433805e-06
DAL192,3p,3,T>A,98,47,145,6350003,6167708,12517711,1.1583587446618636e-05
DAL192,3p,4,T>A,173,80,253,6350003,6167708,12517711,2.02113629241001e-05
DAL192,3p,5,T>A,230,244,474,6350003,6167708,12517711,3.786634792894644e-05
DAL192,3p,6,T>A,287,255,542,6350003,6167708,12517711,4.329865100736069e-05
DAL192,3p,7,T>A,374,258,632,6350003,6167708,12517711,5.048846390526191e-05
DAL192,3p,8,T>A,409,251,660,6350003,6167618,12517621,5.272567367233758e-05
DAL192,3p,9,T>A,342,354,696,6350003,6167637,12517640,5.560153511364762e-05
DAL192,3p,10,T>A,491,343,834,6350003,6167645,12517648,6.662593484015527e-05
DAL192,3p,11,T>A,464,337,801,6349987,6167644,12517631,6.39897437462408e-05
DAL192,3p,12,T>A,507,463,970,6349997,6167646,12517643,7.749062662994942e-05
DAL192,3p,13,T>A,456,387,843,6349992,6167621,12517613,6.73451080489547e-05
DAL192,3p,14,T>A,805,398,1203,6349967,6167610,12517577,9.610486118839134e-05
DAL192,3p,15,T>A,738,467,1205,6349968,6167615,12517583,9.626459037659266e-05
DAL192,3p,16,T>A,611,502,1113,6349943,6167587,12517530,8.891530517602114e-05
DAL192,3p,17,T>A,391,351,742,6349922,6167606,12517528,5.927687958836601e-05
DAL192,3p,18,T>A,881,395,1276,6349922,6167564,12517486,0.0001019374018073
DAL192,3p,19,T>A,735,371,1106,6349921,6167519,12517440,8.835672469770177e-05
DAL192,3p,20,T>A,573,419,992,6349910,6167516,12517426,7.924951982939623e-05
DAL192,3p,21,T>A,604,443,1047,6349882,6167507,12517389,8.364364165721781e-05
DAL192,3p,22,T>A,528,536,1064,6349894,6167488,12517382,8.500179989713504e-05
DAL192,3p,23,T>A,619,515,1134,6349902,6167465,12517367,9.059413213657472e-05
DAL192,3p,24,T>A,616,440,1056,6349899,6167465,12517364,8.436280993346523e-05
DAL192,3p,25,T>A,608,514,1122,6349856,6167384,12517240,8.963637351364998e-05
DAL192,5p,1,T>A,11,5,16,6350003,6167708,12517711,1.2781889596268838e-06
DAL192,5p,2,T>A,5,12,17,6349992,6167694,12517686,1.3580784819175043e-06
DAL192,5p,3,T>A,381,190,571,6350003,6167707,12517710,4.561537214075098e-05
DAL192,5p,4,T>A,190,94,284,6350003,6167708,12517711,2.268785403337719e-05
DAL192,5p,5,T>A,319,243,562,6350003,6167707,12517710,4.489639079352373e-05
DAL192,5p,6,T>A,266,218,484,6350002,6167707,12517709,3.866522220639576e-05
DAL192,5p,7,T>A,130,133,263,6350002,6167708,12517710,2.101023270230737e-05
DAL192,5p,8,T>A,268,242,510,6349926,6167708,12517634,4.074252370695612e-05
DAL192,5p,9,T>A,280,256,536,6349914,6167708,12517622,4.281963459193767e-05
DAL192,5p,10,T>A,510,284,794,6349896,6167708,12517604,6.343066931978356e-05
DAL192,5p,11,T>A,297,287,584,6349942,6167706,12517648,4.66541318305164e-05
DAL192,5p,12,T>A,491,366,857,6349906,6167700,12517606,6.84635704303203e-05
DAL192,5p,13,T>A,545,284,829,6349906,6167705,12517611,6.622669453460409e-05
DAL192,5p,14,T>A,379,322,701,6349889,6167679,12517568,5.600129354200432e-05
DAL192,5p,15,T>A,415,339,754,6349890,6167649,12517539,6.023548238994901e-05
DAL192,5p,16,T>A,426,433,859,6349904,6167639,12517543,6.862369076742936e-05
