Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,T>G,14,7,21,6350003,6167708,12517711,1.677623009510285e-06
DAL192,3p,2,T>G,21,12,33,6350003,6167706,12517709,2.6362651504360742e-06
DAL192,3p,3,T>G,160,72,232,6350003,6167708,12517711,1.8533739914589817e-05
DAL192,3p,4,T>G,130,77,207,6350003,6167708,12517711,1.653656966517281e-05
DAL192,3p,5,T>G,243,211,454,6350003,6167708,12517711,3.626861172941283e-05
DAL192,3p,6,T>G,199,218,417,6350003,6167708,12517711,3.331279976027566e-05
DAL192,3p,7,T>G,338,221,559,6350003,6167708,12517711,4.4656726776964254e-05
DAL192,3p,8,T>G,467,248,715,6350003,6167618,12517621,5.7119479811699046e-05
DAL192,3p,9,T>G,408,336,744,6350003,6167637,12517640,5.943612374217504e-05
DAL192,3p,10,T>G,454,328,782,6350003,6167645,12517648,6.24717998141504e-05
DAL192,3p,11,T>G,343,338,681,6349987,6167644,12517631,5.44032652823845e-05
DAL192,3p,12,T>G,327,415,742,6349997,6167646,12517643,5.927633500971389e-05
DAL192,3p,13,T>G,596,601,1197,6349992,6167621,12517613,9.56252601833912e-05
DAL192,3p,14,T>G,626,481,1107,6349967,6167610,12517577,8.843564533295861e-05
DAL192,3p,15,T>G,524,367,891,6349968,6167615,12517583,7.11798755398706e-05
DAL192,3p,16,T>G,822,453,1275,6349943,6167587,12517530,0.000101857155525
DAL192,3p,17,T>G,754,489,1243,6349922,6167606,12517528,9.930075650719536e-05
DAL192,3p,18,T>G,718,655,1373,6349922,6167564,12517486,0.0001096865616626
DAL192,3p,19,T>G,556,452,1008,6349921,6167519,12517440,8.052764782575351e-05
DAL192,3p,20,T>G,478,387,865,6349910,6167516,12517426,6.910366396414088e-05
DAL192,3p,21,T>G,614,487,1101,6349882,6167507,12517389,8.79576403673322e-05
DAL192,3p,22,T>G,627,452,1079,6349894,6167488,12517382,8.620013354230141e-05
DAL192,3p,23,T>G,856,621,1477,6349902,6167465,12517367,0.0001179960609926
DAL192,3p,24,T>G,1333,615,1948,6349899,6167465,12517364,0.0001556238198393
DAL192,3p,25,T>G,1067,437,1504,6349856,6167384,12517240,0.0001201542832125
DAL192,5p,1,T>G,8,9,17,6350003,6167708,12517711,1.3580757696035642e-06
DAL192,5p,2,T>G,8,7,15,6349992,6167694,12517686,1.1983045428683864e-06
DAL192,5p,3,T>G,378,236,614,6350003,6167707,12517710,4.905050524417006e-05
DAL192,5p,4,T>G,164,120,284,6350003,6167708,12517711,2.268785403337719e-05
DAL192,5p,5,T>G,282,299,581,6350003,6167707,12517710,4.641424030433681e-05
DAL192,5p,6,T>G,203,259,462,6350002,6167707,12517709,3.690771210610504e-05
DAL192,5p,7,T>G,244,200,444,6350002,6167708,12517710,3.546974646321092e-05
DAL192,5p,8,T>G,309,205,514,6349926,6167708,12517634,4.106207291250088e-05
DAL192,5p,9,T>G,265,262,527,6349914,6167708,12517622,4.210064819020737e-05
DAL192,5p,10,T>G,329,256,585,6349896,6167708,12517604,4.673418331495389e-05
DAL192,5p,11,T>G,373,256,629,6349942,6167706,12517648,5.02490563722514e-05
DAL192,5p,12,T>G,330,226,556,6349906,6167700,12517606,4.441743892562204e-05
DAL192,5p,13,T>G,280,301,581,6349906,6167705,12517611,4.641460738794327e-05
DAL192,5p,14,T>G,422,409,831,6349889,6167679,12517568,6.638669747989385e-05
DAL192,5p,15,T>G,522,309,831,6349890,6167649,12517539,6.638685128123028e-05
DAL192,5p,16,T>G,433,364,797,6349904,6167639,12517543,6.367064207408755e-05
DAL192,5p,17,T>G,286,555,841,6349778,6167623,12517401,6.718647105737045e-05
DAL192,5p,18,T>G,348,523,871,6349859,6167631,12517490,6.958263997015376e-05
DAL192,5p,19,T>G,437,614,1051,6349822,6167638,12517460,8.396272087148671e-05
DAL192,5p,20,T>G,410,311,721,6349836,6167621,12517457,5.759955876021783e-05
DAL192,5p,21,T>G,639,419,1058,6349784,6167624,12517408,8.452229087683328e-05
