Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,T>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,2,T>-,0,0,0,6350003,6167706,12517709,0.0
DAL192,3p,3,T>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,4,T>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,5,T>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,6,T>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,7,T>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,8,T>-,0,0,0,6350003,6167618,12517621,0.0
DAL192,3p,9,T>-,0,13,13,6350003,6167637,12517640,1.0385344202261769e-06
DAL192,3p,10,T>-,2,12,14,6350003,6167645,12517648,1.1184209685397768e-06
DAL192,3p,11,T>-,10,6,16,6349987,6167644,12517631,1.2781971285141734e-06
DAL192,3p,12,T>-,10,14,24,6349997,6167646,12517643,1.9172938547616357e-06
DAL192,3p,13,T>-,5,14,19,6349992,6167621,12517613,1.517861272752241e-06
DAL192,3p,14,T>-,4,80,84,6349967,6167610,12517577,6.710563873503634e-06
DAL192,3p,15,T>-,6,17,23,6349968,6167615,12517583,1.8374154179764576e-06
DAL192,3p,16,T>-,7,22,29,6349943,6167587,12517530,2.3167509884138485e-06
DAL192,3p,17,T>-,5,39,44,6349922,6167606,12517528,3.5150710268033758e-06
DAL192,3p,18,T>-,9,36,45,6349922,6167564,12517486,3.5949710668739717e-06
DAL192,3p,19,T>-,13,32,45,6349921,6167519,12517440,3.594984277935425e-06
DAL192,3p,20,T>-,13,36,49,6349910,6167516,12517426,3.914542814153645e-06
DAL192,3p,21,T>-,15,44,59,6349882,6167507,12517389,4.713443035124977e-06
DAL192,3p,22,T>-,10,54,64,6349894,6167488,12517382,5.112890219376543e-06
DAL192,3p,23,T>-,7,50,57,6349902,6167465,12517367,4.5536733084521685e-06
DAL192,3p,24,T>-,30,69,99,6349899,6167465,12517364,7.909013431262365e-06
DAL192,3p,25,T>-,42,91,133,6349856,6167384,12517240,1.0625345523454052e-05
DAL192,5p,1,T>-,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,2,T>-,0,0,0,6349992,6167694,12517686,0.0
DAL192,5p,3,T>-,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,4,T>-,2,0,2,6350003,6167708,12517711,1.597736199533605e-07
DAL192,5p,5,T>-,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,6,T>-,0,0,0,6350002,6167707,12517709,0.0
DAL192,5p,7,T>-,0,0,0,6350002,6167708,12517710,0.0
DAL192,5p,8,T>-,0,0,0,6349926,6167708,12517634,0.0
DAL192,5p,9,T>-,7,0,7,6349914,6167708,12517622,5.592116457902308e-07
DAL192,5p,10,T>-,8,2,10,6349896,6167708,12517604,7.988749284607501e-07
DAL192,5p,11,T>-,9,3,12,6349942,6167706,12517648,9.586465444626658e-07
DAL192,5p,12,T>-,8,3,11,6349906,6167700,12517606,8.787622809025943e-07
DAL192,5p,13,T>-,9,4,13,6349906,6167705,12517611,1.0385368262362524e-06
DAL192,5p,14,T>-,16,1,17,6349889,6167679,12517568,1.3580912841855543e-06
DAL192,5p,15,T>-,8,2,10,6349890,6167649,12517539,7.988790767897747e-07
DAL192,5p,16,T>-,14,8,22,6349904,6167639,12517543,1.757533407314838e-06
DAL192,5p,17,T>-,8,16,24,6349778,6167623,12517401,1.917330921970144e-06
DAL192,5p,18,T>-,16,9,25,6349859,6167631,12517490,1.997205510050337e-06
DAL192,5p,19,T>-,14,21,35,6349822,6167638,12517460,2.79609441532068e-06
DAL192,5p,20,T>-,16,14,30,6349836,6167621,12517457,2.396652930383544e-06
DAL192,5p,21,T>-,17,26,43,6349784,6167624,12517408,3.435215980816476e-06
DAL192,5p,22,T>-,45,13,58,6349783,6167584,12517367,4.63356231386361e-06
DAL192,5p,23,T>-,52,37,89,6349801,6167567,12517368,7.11012091359781e-06
DAL192,5p,24,T>-,47,49,96,6349759,6167564,12517323,7.66937147823061e-06
DAL192,5p,25,T>-,55,70,125,6349777,6167551,12517328,9.986156790011417e-06
