Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,->A,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,2,->A,0,0,0,6350003,6167706,12517709,0.0
DAL192,3p,3,->A,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,4,->A,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,5,->A,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,6,->A,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,7,->A,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,8,->A,0,23,23,6350003,6167618,12517621,1.8374098400966129e-06
DAL192,3p,9,->A,0,19,19,6350003,6167637,12517640,1.5178579987921046e-06
DAL192,3p,10,->A,0,19,19,6350003,6167645,12517648,1.5178570287325542e-06
DAL192,3p,11,->A,2,18,20,6349987,6167644,12517631,1.5977464106427167e-06
DAL192,3p,12,->A,1,17,18,6349997,6167646,12517643,1.4379703910712265e-06
DAL192,3p,13,->A,3,17,20,6349992,6167621,12517613,1.5977487081602538e-06
DAL192,3p,14,->A,18,16,34,6349967,6167610,12517577,2.7161806154657568e-06
DAL192,3p,15,->A,19,13,32,6349968,6167615,12517583,2.556404059793332e-06
DAL192,3p,16,->A,31,25,56,6349943,6167587,12517530,4.473726046592259e-06
DAL192,3p,17,->A,47,25,72,6349922,6167606,12517528,5.751934407496432e-06
DAL192,3p,18,->A,55,37,92,6349922,6167564,12517486,7.349718625609008e-06
DAL192,3p,19,->A,50,44,94,6349921,6167519,12517440,7.509522713909554e-06
DAL192,3p,20,->A,44,63,107,6349910,6167516,12517426,8.548083288049795e-06
DAL192,3p,21,->A,59,47,106,6349882,6167507,12517389,8.468219690224535e-06
DAL192,3p,22,->A,47,44,91,6349894,6167488,12517382,7.269890780676023e-06
DAL192,3p,23,->A,42,46,88,6349902,6167465,12517367,7.030232476206857e-06
DAL192,3p,24,->A,46,47,93,6349899,6167465,12517364,7.429679283913131e-06
DAL192,3p,25,->A,74,170,244,6349856,6167384,12517240,1.9493115095660065e-05
DAL192,5p,1,->A,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,2,->A,0,0,0,6349992,6167694,12517686,0.0
DAL192,5p,3,->A,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,4,->A,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,5,->A,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,6,->A,0,0,0,6350002,6167707,12517709,0.0
DAL192,5p,7,->A,0,0,0,6350002,6167708,12517710,0.0
DAL192,5p,8,->A,65,0,65,6349926,6167708,12517634,5.192674590102251e-06
DAL192,5p,9,->A,60,0,60,6349914,6167708,12517622,4.793242678201978e-06
DAL192,5p,10,->A,79,0,79,6349896,6167708,12517604,6.311111934839926e-06
DAL192,5p,11,->A,29,0,29,6349942,6167706,12517648,2.316729149118109e-06
DAL192,5p,12,->A,47,3,50,6349906,6167700,12517606,3.994374004102701e-06
DAL192,5p,13,->A,62,1,63,6349906,6167705,12517611,5.032909234837223e-06
DAL192,5p,14,->A,58,15,73,6349889,6167679,12517568,5.831803749737968e-06
DAL192,5p,15,->A,60,20,80,6349890,6167649,12517539,6.3910326143181975e-06
DAL192,5p,16,->A,44,21,65,6349904,6167639,12517543,5.19271233979384e-06
DAL192,5p,17,->A,154,13,167,6349778,6167623,12517401,1.3341427665375584e-05
DAL192,5p,18,->A,61,16,77,6349859,6167631,12517490,6.15139297095504e-06
DAL192,5p,19,->A,82,10,92,6349822,6167638,12517460,7.349733891700073e-06
DAL192,5p,20,->A,80,18,98,6349836,6167621,12517457,7.829066239252909e-06
DAL192,5p,21,->A,129,31,160,6349784,6167624,12517408,1.2782198998386888e-05
DAL192,5p,22,->A,102,30,132,6349783,6167584,12517367,1.0545348714310286e-05
DAL192,5p,23,->A,103,24,127,6349801,6167567,12517368,1.0145902876706987e-05
