Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,->C,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,2,->C,0,0,0,6350003,6167706,12517709,0.0
DAL192,3p,3,->C,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,4,->C,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,5,->C,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,6,->C,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,7,->C,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,8,->C,0,0,0,6350003,6167618,12517621,0.0
DAL192,3p,9,->C,0,1,1,6350003,6167637,12517640,7.98872630943213e-08
DAL192,3p,10,->C,0,4,4,6350003,6167645,12517648,3.19548848154222e-07
DAL192,3p,11,->C,3,3,6,6349987,6167644,12517631,4.79323923192815e-07
DAL192,3p,12,->C,0,9,9,6349997,6167646,12517643,7.189851955356132e-07
DAL192,3p,13,->C,0,8,8,6349992,6167621,12517613,6.390994832641016e-07
DAL192,3p,14,->C,4,11,15,6349967,6167610,12517577,1.1983149774113633e-06
DAL192,3p,15,->C,3,12,15,6349968,6167615,12517583,1.1983144030281243e-06
DAL192,3p,16,->C,2,34,36,6349943,6167587,12517530,2.875966744237881e-06
DAL192,3p,17,->C,5,19,24,6349922,6167606,12517528,1.917311469165477e-06
DAL192,3p,18,->C,4,37,41,6349922,6167564,12517486,3.2754180831518405e-06
DAL192,3p,19,->C,4,51,55,6349921,6167519,12517440,4.3938696730321855e-06
DAL192,3p,20,->C,6,37,43,6349910,6167516,12517426,3.435211040991974e-06
DAL192,3p,21,->C,12,32,44,6349882,6167507,12517389,3.515110060093203e-06
DAL192,3p,22,->C,12,35,47,6349894,6167488,12517382,3.754778754854649e-06
DAL192,3p,23,->C,11,53,64,6349902,6167465,12517367,5.11289634633226e-06
DAL192,3p,24,->C,10,55,65,6349899,6167465,12517364,5.192786596283371e-06
DAL192,3p,25,->C,16,53,69,6349856,6167384,12517240,5.512397301641576e-06
DAL192,5p,1,->C,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,2,->C,0,0,0,6349992,6167694,12517686,0.0
DAL192,5p,3,->C,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,4,->C,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,5,->C,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,6,->C,0,0,0,6350002,6167707,12517709,0.0
DAL192,5p,7,->C,0,0,0,6350002,6167708,12517710,0.0
DAL192,5p,8,->C,3,0,3,6349926,6167708,12517634,2.396619041585654e-07
DAL192,5p,9,->C,2,0,2,6349914,6167708,12517622,1.5977475594006596e-07
DAL192,5p,10,->C,1,0,1,6349896,6167708,12517604,7.988749284607502e-08
DAL192,5p,11,->C,3,1,4,6349942,6167706,12517648,3.19548848154222e-07
DAL192,5p,12,->C,13,0,13,6349906,6167700,12517606,1.0385372410667023e-06
DAL192,5p,13,->C,11,2,13,6349906,6167705,12517611,1.0385368262362524e-06
DAL192,5p,14,->C,6,1,7,6349889,6167679,12517568,5.592140581940518e-07
DAL192,5p,15,->C,5,5,10,6349890,6167649,12517539,7.988790767897747e-07
DAL192,5p,16,->C,17,18,35,6349904,6167639,12517543,2.796075875273606e-06
DAL192,5p,17,->C,22,14,36,6349778,6167623,12517401,2.875996382955216e-06
DAL192,5p,18,->C,14,8,22,6349859,6167631,12517490,1.757540848844297e-06
DAL192,5p,19,->C,22,8,30,6349822,6167638,12517460,2.3966523559891544e-06
DAL192,5p,20,->C,13,11,24,6349836,6167621,12517457,1.9173223443068347e-06
DAL192,5p,21,->C,25,19,44,6349784,6167624,12517408,3.5151047245563937e-06
DAL192,5p,22,->C,40,41,81,6349783,6167584,12517367,6.471009438326766e-06
DAL192,5p,23,->C,21,30,51,6349801,6167567,12517368,4.074338950488633e-06
DAL192,5p,24,->C,30,24,54,6349759,6167564,12517323,4.314021456504718e-06
DAL192,5p,25,->C,39,33,72,6349777,6167551,12517328,5.752026311046575e-06
DAL193,3p,1,->C,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,2,->C,0,0,0,6484402,6362696,12847098,0.0
DAL193,3p,3,->C,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,4,->C,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,5,->C,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,6,->C,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,7,->C,0,0,0,6484405,6362696,12847101,0.0
DAL193,3p,8,->C,3,1,4,6484400,6362644,12847044,3.113556706118544e-07
DAL193,3p,9,->C,0,2,2,6484400,6362631,12847031,1.5567799283741126e-07
DAL193,3p,10,->C,2,0,2,6484393,6362640,12847033,1.5567796860177756e-07
DAL193,3p,11,->C,1,7,8,6484398,6362639,12847037,6.227116805221313e-07
DAL193,3p,12,->C,3,20,23,6484368,6362594,12846962,1.790306533171033e-06
DAL193,3p,13,->C,5,38,43,6484385,6362543,12846928,3.3471036811290605e-06
DAL193,3p,14,->C,3,50,53,6484363,6362486,12846849,4.125525255259091e-06
DAL193,3p,15,->C,1,52,53,6484332,6362438,12846770,4.125550624787398e-06
DAL193,3p,16,->C,5,68,73,6484341,6362460,12846801,5.682348469475008e-06
DAL193,3p,17,->C,8,52,60,6484294,6362445,12846739,4.6704459396271695e-06
DAL193,3p,18,->C,9,80,89,6484244,6362380,12846624,6.927890160091865e-06
DAL193,3p,19,->C,17,85,102,6484265,6362400,12846665,7.939803832356492e-06
DAL193,3p,20,->C,36,67,103,6484261,6362382,12846643,8.017658776693647e-06
DAL193,3p,21,->C,23,48,71,6484248,6362443,12846691,5.526715011671099e-06
DAL193,3p,22,->C,20,89,109,6484224,6362407,12846631,8.484714786312459e-06
DAL193,3p,23,->C,27,103,130,6484218,6362399,12846617,1.0119395635442389e-05
DAL193,3p,24,->C,37,110,147,6484164,6362319,12846483,1.144282057587279e-05
DAL193,3p,25,->C,37,90,127,6484128,6362355,12846483,9.885974239019347e-06
DAL193,5p,1,->C,0,0,0,6484405,6362696,12847101,0.0
DAL193,5p,2,->C,0,0,0,6484386,6362681,12847067,0.0
DAL193,5p,3,->C,0,0,0,6484400,6362696,12847096,0.0
DAL193,5p,4,->C,0,0,0,6484403,6362696,12847099,0.0
DAL193,5p,5,->C,0,0,0,6484403,6362696,12847099,0.0
DAL193,5p,6,->C,0,0,0,6484404,6362696,12847100,0.0
DAL193,5p,7,->C,0,0,0,6484404,6362696,12847100,0.0
DAL193,5p,8,->C,3,1,4,6484314,6362693,12847007,3.11356567331208e-07
DAL193,5p,9,->C,1,0,1,6484295,6362695,12846990,7.783924483478232e-08
DAL193,5p,10,->C,5,1,6,6484284,6362694,12846978,4.6703590525336e-07
DAL193,5p,11,->C,9,1,10,6484315,6362677,12846992,7.783923271688813e-07
DAL193,5p,12,->C,20,1,21,6484218,6362670,12846888,1.6346371199001657e-06
DAL193,5p,13,->C,43,2,45,6484143,6362652,12846795,3.5028191856412435e-06
DAL193,5p,14,->C,83,8,91,6484145,6362627,12846772,7.083491479415997e-06
DAL193,5p,15,->C,56,12,68,6484166,6362534,12846700,5.29318813391766e-06
DAL193,5p,16,->C,84,6,90,6484111,6362519,12846630,7.0057283505479645e-06
DAL193,5p,17,->C,127,30,157,6484043,6362598,12846641,1.222109343601958e-05
DAL193,5p,18,->C,124,39,163,6483967,6362571,12846538,1.2688243322831411e-05
DAL193,5p,19,->C,148,23,171,6483980,6362593,12846573,1.3310942926179612e-05
DAL193,5p,20,->C,70,28,98,6483952,6362554,12846506,7.6285333926594515e-06
DAL193,5p,21,->C,115,30,145,6484003,6362532,12846535,1.1287090254298144e-05
DAL193,5p,22,->C,107,54,161,6484010,6362499,12846509,1.2532587646963078e-05
DAL193,5p,23,->C,110,65,175,6483966,6362463,12846429,1.362246270928676e-05
DAL193,5p,24,->C,110,106,216,6483905,6362426,12846331,1.681413938345509e-05
DAL193,5p,25,->C,76,126,202,6483942,6362403,12846345,1.572431691660157e-05
DAL195,3p,1,->C,0,0,0,2363278,2267461,4630739,0.0
DAL195,3p,2,->C,0,0,0,2363278,2267460,4630738,0.0
DAL195,3p,3,->C,0,0,0,2363278,2267461,4630739,0.0
DAL195,3p,4,->C,0,0,0,2363278,2267461,4630739,0.0
DAL195,3p,5,->C,0,0,0,2363278,2267461,4630739,0.0
DAL195,3p,6,->C,0,0,0,2363278,2267461,4630739,0.0
DAL195,3p,7,->C,0,0,0,2363278,2267461,4630739,0.0
DAL195,3p,8,->C,0,1,1,2363278,2267413,4630691,2.159504920539937e-07
DAL195,3p,9,->C,1,0,1,2363276,2267438,4630714,2.1594941946317565e-07
DAL195,3p,10,->C,2,2,4,2363274,2267432,4630706,8.637991701481372e-07
DAL195,3p,11,->C,2,0,2,2363274,2267431,4630705,4.318996783427146e-07
DAL195,3p,12,->C,0,13,13,2363273,2267414,4630687,2.807358821703993e-06
DAL195,3p,13,->C,2,4,6,2363269,2267412,4630681,1.2957057504069056e-06
DAL195,3p,14,->C,0,9,9,2363250,2267410,4630660,1.943567439630636e-06
DAL195,3p,15,->C,3,15,18,2363254,2267411,4630665,3.887130682094257e-06
DAL195,3p,16,->C,3,13,16,2363259,2267394,4630653,3.455236226942507e-06
DAL195,3p,17,->C,3,21,24,2363234,2267398,4630632,5.182877844752077e-06
DAL195,3p,18,->C,9,25,34,2363236,2267374,4630610,7.342445163812111e-06
DAL195,3p,19,->C,5,18,23,2363215,2267369,4630584,4.966976087681381e-06
DAL195,3p,20,->C,11,24,35,2363222,2267380,4630602,7.558412491507584e-06
DAL195,3p,21,->C,9,13,22,2363235,2267382,4630617,4.750986747554376e-06
DAL195,3p,22,->C,9,11,20,2363231,2267383,4630614,4.319081659581213e-06
DAL195,3p,23,->C,6,15,21,2363219,2267370,4630589,4.535060226679587e-06
DAL195,3p,24,->C,13,14,27,2363198,2267373,4630571,5.830814385526105e-06
DAL195,3p,25,->C,12,19,31,2363180,2267377,4630557,6.694658979470504e-06
DAL195,5p,1,->C,0,0,0,2363278,2267461,4630739,0.0
DAL195,5p,2,->C,0,0,0,2363264,2267447,4630711,0.0
DAL195,5p,3,->C,0,0,0,2363278,2267459,4630737,0.0
DAL195,5p,4,->C,0,0,0,2363278,2267461,4630739,0.0
DAL195,5p,5,->C,0,0,0,2363277,2267461,4630738,0.0
DAL195,5p,6,->C,1,0,1,2363277,2267461,4630738,2.1594830024933394e-07
DAL195,5p,7,->C,0,0,0,2363277,2267461,4630738,0.0
DAL195,5p,8,->C,6,0,6,2363212,2267460,4630672,1.2957082686918875e-06
DAL195,5p,9,->C,3,0,3,2363181,2267461,4630642,6.478583315229292e-07
DAL195,5p,10,->C,12,0,12,2363146,2267458,4630604,2.591454592100728e-06
DAL195,5p,11,->C,4,8,12,2362948,2267450,4630398,2.591569882329769e-06
DAL195,5p,12,->C,10,3,13,2362864,2267454,4630318,2.8075825461663755e-06
DAL195,5p,13,->C,11,4,15,2363073,2267445,4630518,3.239378402157167e-06
DAL195,5p,14,->C,9,1,10,2363094,2267434,4630528,2.1595809376382133e-06
DAL195,5p,15,->C,20,4,24,2363178,2267432,4630610,5.182902468573255e-06
DAL195,5p,16,->C,25,5,30,2363170,2267429,4630599,6.478643475714481e-06
DAL195,5p,17,->C,18,8,26,2363159,2267431,4630590,5.614835258573961e-06
DAL195,5p,18,->C,20,4,24,2363182,2267420,4630602,5.182911422748057e-06
DAL195,5p,19,->C,49,7,56,2363138,2267420,4630558,1.209357489961253e-05
DAL195,5p,20,->C,64,10,74,2363110,2267401,4630511,1.5980957609214187e-05
DAL195,5p,21,->C,70,19,89,2363086,2267400,4630486,1.9220444679025053e-05
DAL195,5p,22,->C,56,15,71,2363094,2267388,4630482,1.5333176978120205e-05
DAL195,5p,23,->C,66,12,78,2363068,2267398,4630466,1.6844956857473955e-05
DAL195,5p,24,->C,47,9,56,2363067,2267402,4630469,1.209380734435324e-05
DAL195,5p,25,->C,26,11,37,2363135,2267374,4630509,7.990482255838397e-06
DAL212,3p,1,->C,0,0,0,4131322,4008153,8139475,0.0
DAL212,3p,2,->C,0,0,0,4131322,4008153,8139475,0.0
DAL212,3p,3,->C,0,0,0,4131322,4008153,8139475,0.0
DAL212,3p,4,->C,0,0,0,4131322,4008153,8139475,0.0
DAL212,3p,5,->C,0,0,0,4131322,4008151,8139473,0.0
DAL212,3p,6,->C,0,0,0,4131322,4008151,8139473,0.0
DAL212,3p,7,->C,0,0,0,4131322,4008153,8139475,0.0
DAL212,3p,8,->C,0,1,1,4131319,4008093,8139412,1.228589976769821e-07
