Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,->G,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,2,->G,0,0,0,6350003,6167706,12517709,0.0
DAL192,3p,3,->G,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,4,->G,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,5,->G,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,6,->G,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,7,->G,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,8,->G,0,2,2,6350003,6167618,12517621,1.597747687040533e-07
DAL192,3p,9,->G,0,9,9,6350003,6167637,12517640,7.189853678488916e-07
DAL192,3p,10,->G,0,3,3,6350003,6167645,12517648,2.3966163611566645e-07
DAL192,3p,11,->G,8,0,8,6349987,6167644,12517631,6.390985642570867e-07
DAL192,3p,12,->G,5,5,10,6349997,6167646,12517643,7.988724394840147e-07
DAL192,3p,13,->G,5,13,18,6349992,6167621,12517613,1.4379738373442286e-06
DAL192,3p,14,->G,4,14,18,6349967,6167610,12517577,1.4379779728936358e-06
DAL192,3p,15,->G,10,5,15,6349968,6167615,12517583,1.1983144030281243e-06
DAL192,3p,16,->G,11,6,17,6349943,6167587,12517530,1.3580954070012216e-06
DAL192,3p,17,->G,10,20,30,6349922,6167606,12517528,2.396639336456847e-06
DAL192,3p,18,->G,7,15,22,6349922,6167564,12517486,1.7575414104717194e-06
DAL192,3p,19,->G,16,24,40,6349921,6167519,12517440,3.195541580387044e-06
DAL192,3p,20,->G,13,24,37,6349910,6167516,12517426,2.955879267830303e-06
DAL192,3p,21,->G,22,59,81,6349882,6167507,12517389,6.470998065171579e-06
DAL192,3p,22,->G,20,52,72,6349894,6167488,12517382,5.752001496798612e-06
DAL192,3p,23,->G,31,42,73,6349902,6167465,12517367,5.831897395035234e-06
DAL192,3p,24,->G,27,38,65,6349899,6167465,12517364,5.192786596283371e-06
DAL192,3p,25,->G,24,25,49,6349856,6167384,12517240,3.914600982325177e-06
DAL192,5p,1,->G,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,2,->G,0,0,0,6349992,6167694,12517686,0.0
DAL192,5p,3,->G,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,4,->G,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,5,->G,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,6,->G,0,0,0,6350002,6167707,12517709,0.0
DAL192,5p,7,->G,0,0,0,6350002,6167708,12517710,0.0
DAL192,5p,8,->G,0,0,0,6349926,6167708,12517634,0.0
DAL192,5p,9,->G,5,0,5,6349914,6167708,12517622,3.994368898501648e-07
DAL192,5p,10,->G,2,0,2,6349896,6167708,12517604,1.5977498569215005e-07
DAL192,5p,11,->G,1,0,1,6349942,6167706,12517648,7.988721203855549e-08
DAL192,5p,12,->G,0,0,0,6349906,6167700,12517606,0.0
DAL192,5p,13,->G,4,0,4,6349906,6167705,12517611,3.1954979268807765e-07
DAL192,5p,14,->G,14,2,16,6349889,6167679,12517568,1.278203561586404e-06
DAL192,5p,15,->G,16,13,29,6349890,6167649,12517539,2.316749322690347e-06
DAL192,5p,16,->G,15,4,19,6349904,6167639,12517543,1.5178697608628148e-06
DAL192,5p,17,->G,28,7,35,6349778,6167623,12517401,2.796107594539793e-06
DAL192,5p,18,->G,32,9,41,6349859,6167631,12517490,3.275417036482554e-06
DAL192,5p,19,->G,29,8,37,6349822,6167638,12517460,2.9558712390532906e-06
