Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,->T,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,2,->T,0,0,0,6350003,6167706,12517709,0.0
DAL192,3p,3,->T,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,4,->T,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,5,->T,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,6,->T,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,7,->T,0,0,0,6350003,6167708,12517711,0.0
DAL192,3p,8,->T,0,65,65,6350003,6167618,12517621,5.192679982881732e-06
DAL192,3p,9,->T,0,42,42,6350003,6167637,12517640,3.3552650499614942e-06
DAL192,3p,10,->T,0,37,37,6350003,6167645,12517648,2.955826845426553e-06
DAL192,3p,11,->T,3,43,46,6349987,6167644,12517631,3.674816744478249e-06
DAL192,3p,12,->T,0,31,31,6349997,6167646,12517643,2.4765045624004456e-06
DAL192,3p,13,->T,3,49,52,6349992,6167621,12517613,4.15414664121666e-06
DAL192,3p,14,->T,10,57,67,6349967,6167610,12517577,5.352473565770756e-06
DAL192,3p,15,->T,3,63,66,6349968,6167615,12517583,5.272583373323748e-06
DAL192,3p,16,->T,16,56,72,6349943,6167587,12517530,5.751933488475762e-06
DAL192,3p,17,->T,19,38,57,6349922,6167606,12517528,4.553614739268009e-06
DAL192,3p,18,->T,15,55,70,6349922,6167564,12517486,5.592177215137288e-06
DAL192,3p,19,->T,12,70,82,6349921,6167519,12517440,6.55086023979344e-06
DAL192,3p,20,->T,30,68,98,6349910,6167516,12517426,7.82908562830729e-06
DAL192,3p,21,->T,28,63,91,6349882,6167507,12517389,7.269886715192761e-06
DAL192,3p,22,->T,30,88,118,6349894,6167488,12517382,9.426891341975502e-06
DAL192,3p,23,->T,17,102,119,6349902,6167465,12517367,9.506791643961544e-06
DAL192,3p,24,->T,21,103,124,6349899,6167465,12517364,9.906239045217507e-06
DAL192,3p,25,->T,33,76,109,6349856,6167384,12517240,8.707989940274373e-06
DAL192,5p,1,->T,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,2,->T,0,0,0,6349992,6167694,12517686,0.0
DAL192,5p,3,->T,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,4,->T,0,0,0,6350003,6167708,12517711,0.0
DAL192,5p,5,->T,0,0,0,6350003,6167707,12517710,0.0
DAL192,5p,6,->T,1,0,1,6350002,6167707,12517709,7.98868227404871e-08
DAL192,5p,7,->T,1,0,1,6350002,6167708,12517710,7.988681635858315e-08
DAL192,5p,8,->T,9,0,9,6349926,6167708,12517634,7.189857124756963e-07
DAL192,5p,9,->T,22,0,22,6349914,6167708,12517622,1.7575223153407252e-06
DAL192,5p,10,->T,25,0,25,6349896,6167708,12517604,1.9971873211518757e-06
DAL192,5p,11,->T,28,1,29,6349942,6167706,12517648,2.316729149118109e-06
DAL192,5p,12,->T,37,5,42,6349906,6167700,12517606,3.3552741634462693e-06
DAL192,5p,13,->T,20,0,20,6349906,6167705,12517611,1.597748963440388e-06
DAL192,5p,14,->T,36,11,47,6349889,6167679,12517568,3.7547229621600616e-06
DAL192,5p,15,->T,32,21,53,6349890,6167649,12517539,4.234059106985806e-06
DAL192,5p,16,->T,23,26,49,6349904,6167639,12517543,3.914506225383048e-06
DAL192,5p,17,->T,21,51,72,6349778,6167623,12517401,5.751992765910432e-06
DAL192,5p,18,->T,37,44,81,6349859,6167631,12517490,6.470945852563094e-06
DAL192,5p,19,->T,48,44,92,6349822,6167638,12517460,7.349733891700073e-06
DAL192,5p,20,->T,51,46,97,6349836,6167621,12517457,7.749177808240125e-06
DAL192,5p,21,->T,37,17,54,6349784,6167624,12517408,4.313992161955574e-06
DAL192,5p,22,->T,46,45,91,6349783,6167584,12517367,7.269899492441182e-06
DAL192,5p,23,->T,31,72,103,6349801,6167567,12517368,8.228566900006455e-06
DAL192,5p,24,->T,50,64,114,6349759,6167564,12517323,9.107378630398848e-06
DAL192,5p,25,->T,63,78,141,6349777,6167551,12517328,1.1264384859132875e-05
DAL193,3p,1,->T,0,0,0,6484405,6362696,12847101,0.0
