Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,T>C,27,12,39,6350003,6167708,12517711,3.1155855890905296e-06
DAL192,3p,2,T>C,17,18,35,6350003,6167706,12517709,2.7960387959170485e-06
DAL192,3p,3,T>C,55,36,91,6350003,6167708,12517711,7.269699707877902e-06
DAL192,3p,4,T>C,85,118,203,6350003,6167708,12517711,1.621702242526609e-05
DAL192,3p,5,T>C,408,341,749,6350003,6167708,12517711,5.98352206725335e-05
DAL192,3p,6,T>C,484,488,972,6350003,6167708,12517711,7.76499792973332e-05
DAL192,3p,7,T>C,535,425,960,6350003,6167708,12517711,7.669133757761303e-05
DAL192,3p,8,T>C,547,475,1022,6350003,6167618,12517621,8.164490680777123e-05
DAL192,3p,9,T>C,751,764,1515,6350003,6167637,12517640,0.0001210292035878
DAL192,3p,10,T>C,644,643,1287,6350003,6167645,12517648,0.0001028148418936
DAL192,3p,11,T>C,1094,608,1702,6349987,6167644,12517631,0.0001359682195456
DAL192,3p,12,T>C,1060,1106,2166,6349997,6167646,12517643,0.0001730357703922
DAL192,3p,13,T>C,897,613,1510,6349992,6167621,12517613,0.000120630027466
DAL192,3p,14,T>C,812,651,1463,6349967,6167610,12517577,0.0001168756541301
DAL192,3p,15,T>C,1175,648,1823,6349968,6167615,12517583,0.0001456351437813
DAL192,3p,16,T>C,872,719,1591,6349943,6167587,12517530,0.0001271017525022
DAL192,3p,17,T>C,1115,722,1837,6349922,6167606,12517528,0.000146754215369
DAL192,3p,18,T>C,1021,710,1731,6349922,6167564,12517486,0.0001382865537057
DAL192,3p,19,T>C,1052,813,1865,6349921,6167519,12517440,0.0001489921261855
DAL192,3p,20,T>C,1369,982,2351,6349910,6167516,12517426,0.0001878181664505
DAL192,3p,21,T>C,1545,1122,2667,6349882,6167507,12517389,0.0002130636029606
DAL192,3p,22,T>C,1096,724,1820,6349894,6167488,12517382,0.0001453978156135
DAL192,3p,23,T>C,1442,998,2440,6349902,6167465,12517367,0.0001949291732039
DAL192,3p,24,T>C,1504,980,2484,6349899,6167465,12517364,0.0001984443370025
DAL192,3p,25,T>C,1177,829,2006,6349856,6167384,12517240,0.0001602589708274
DAL192,5p,1,T>C,21,62,83,6350003,6167708,12517711,6.63060522806446e-06
DAL192,5p,2,T>C,47,32,79,6349992,6167694,12517686,6.311070592440168e-06
DAL192,5p,3,T>C,199,164,363,6350003,6167707,12517710,2.899891433816569e-05
DAL192,5p,4,T>C,243,150,393,6350003,6167708,12517711,3.1395516320835337e-05
DAL192,5p,5,T>C,374,444,818,6350003,6167707,12517710,6.534741578132103e-05
DAL192,5p,6,T>C,523,400,923,6350002,6167707,12517709,7.373553738946959e-05
DAL192,5p,7,T>C,714,586,1300,6350002,6167708,12517710,0.0001038528612661
DAL192,5p,8,T>C,793,789,1582,6349926,6167708,12517634,0.0001263817107929
DAL192,5p,9,T>C,835,657,1492,6349914,6167708,12517622,0.0001191919679312
DAL192,5p,10,T>C,591,544,1135,6349896,6167708,12517604,9.067230438029514e-05
DAL192,5p,11,T>C,753,651,1404,6349942,6167706,12517648,0.0001121616457021
DAL192,5p,12,T>C,1071,1029,2100,6349906,6167700,12517606,0.0001677637081723
DAL192,5p,13,T>C,615,509,1124,6349906,6167705,12517611,8.979349174534982e-05
DAL192,5p,14,T>C,755,768,1523,6349889,6167679,12517568,0.0001216690015185
DAL192,5p,15,T>C,793,865,1658,6349890,6167649,12517539,0.0001324541509317
DAL192,5p,16,T>C,1103,666,1769,6349904,6167639,12517543,0.0001413216635245
DAL192,5p,17,T>C,795,756,1551,6349778,6167623,12517401,0.0001239075108323
DAL192,5p,18,T>C,1167,697,1864,6349859,6167631,12517490,0.0001489116428293
DAL192,5p,19,T>C,733,748,1481,6349822,6167638,12517460,0.0001183147379739
DAL192,5p,20,T>C,878,781,1659,6349836,6167621,12517457,0.0001325349070502
DAL192,5p,21,T>C,922,803,1725,6349784,6167624,12517408,0.0001378080829513
DAL192,5p,22,T>C,909,796,1705,6349783,6167584,12517367,0.0001362107542265
DAL192,5p,23,T>C,772,765,1537,6349801,6167567,12517368,0.0001227893915078
DAL192,5p,24,T>C,978,710,1688,6349759,6167564,12517323,0.0001348531151588
DAL192,5p,25,T>C,782,877,1659,6349777,6167551,12517328,0.000132536272917
DAL193,3p,1,T>C,90,21,111,6484405,6362696,12847101,8.64008152500708e-06
DAL193,3p,2,T>C,183,72,255,6484402,6362696,12847098,1.9848840570843314e-05
DAL193,3p,3,T>C,192,297,489,6484405,6362696,12847101,3.806306185340957e-05
DAL193,3p,4,T>C,402,399,801,6484405,6362696,12847101,6.234869641018624e-05
DAL193,3p,5,T>C,3326,2672,5998,6484405,6362696,12847101,0.0004668757566395
DAL193,3p,6,T>C,3192,3099,6291,6484405,6362696,12847101,0.0004896824583226
DAL193,3p,7,T>C,3097,3644,6741,6484405,6362696,12847101,0.0005247098158565
DAL193,3p,8,T>C,3290,3810,7100,6484400,6362644,12847044,0.000552656315336
DAL193,3p,9,T>C,4269,4003,8272,6484400,6362631,12847031,0.0006438841783755
DAL193,3p,10,T>C,3982,3835,7817,6484393,6362640,12847033,0.00060846734028
DAL193,3p,11,T>C,3465,3879,7344,6484398,6362639,12847037,0.0005716493227193
DAL193,3p,12,T>C,4329,4063,8392,6484368,6362594,12846962,0.0006532283663639
DAL193,3p,13,T>C,3686,3983,7669,6484385,6362543,12846928,0.0005969520495483
DAL193,3p,14,T>C,4130,3626,7756,6484363,6362486,12846849,0.0006037278090526
DAL193,3p,15,T>C,4426,4872,9298,6484332,6362438,12846770,0.0007237616926277
DAL193,3p,16,T>C,3640,3757,7397,6484341,6362460,12846801,0.0005757853647768
DAL193,3p,17,T>C,4003,4936,8939,6484294,6362445,12846739,0.0006958186042387
DAL193,3p,18,T>C,4579,5021,9600,6484244,6362380,12846624,0.0007472780397402
DAL193,3p,19,T>C,4004,4156,8160,6484265,6362400,12846665,0.0006351843065885
DAL193,3p,20,T>C,3810,3731,7541,6484261,6362382,12846643,0.0005870016003402
DAL193,3p,21,T>C,4511,4835,9346,6484248,6362443,12846691,0.0007275025140715
DAL193,3p,22,T>C,4001,3628,7629,6484224,6362407,12846631,0.0005938521936218
DAL193,3p,23,T>C,3821,4147,7968,6484218,6362399,12846617,0.0006202411109477
DAL193,3p,24,T>C,4601,4707,9308,6484164,6362319,12846483,0.0007245562851715
DAL193,3p,25,T>C,3927,3891,7818,6484128,6362355,12846483,0.000608571233076
DAL193,5p,1,T>C,22,91,113,6484405,6362696,12847101,8.795758669601803e-06
DAL193,5p,2,T>C,71,143,214,6484386,6362681,12847067,1.6657498555896067e-05
DAL193,5p,3,T>C,436,362,798,6484400,6362696,12847096,6.211520486808847e-05
DAL193,5p,4,T>C,479,333,812,6484403,6362696,12847099,6.320493054502032e-05
DAL193,5p,5,T>C,2745,2332,5077,6484403,6362696,12847099,0.0003951864930752
DAL193,5p,6,T>C,3036,2740,5776,6484404,6362696,12847100,0.0004495956285854
DAL193,5p,7,T>C,3888,2978,6866,6484404,6362696,12847100,0.0005344396789937
DAL193,5p,8,T>C,5474,3764,9238,6484314,6362693,12847007,0.0007190779922514
DAL193,5p,9,T>C,5681,5182,10863,6484295,6362695,12846990,0.0008455677166402
DAL193,5p,10,T>C,3387,3714,7101,6484284,6362694,12846978,0.0005527369938673
DAL193,5p,11,T>C,4407,4295,8702,6484315,6362677,12846992,0.0006773570031023
DAL193,5p,12,T>C,4978,4718,9696,6484218,6362670,12846888,0.0007547353102167
DAL193,5p,13,T>C,3230,3558,6788,6484143,6362652,12846795,0.0005283808140473
DAL193,5p,14,T>C,3913,4254,8167,6484145,6362627,12846772,0.0006357239001361
DAL193,5p,15,T>C,4990,4166,9156,6484166,6362534,12846700,0.0007127122140316
DAL193,5p,16,T>C,4190,3353,7543,6484111,6362519,12846630,0.000587157877202
DAL193,5p,17,T>C,4003,3113,7116,6484043,6362598,12846641,0.0005539191139536
DAL193,5p,18,T>C,4358,4147,8505,6483967,6362571,12846538,0.0006620460703109
DAL193,5p,19,T>C,4161,4844,9005,6483980,6362593,12846573,0.0007009651523406
DAL193,5p,20,T>C,4003,3998,8001,6483952,6362554,12846506,0.0006228152619864
DAL193,5p,21,T>C,5781,4951,10732,6484003,6362532,12846535,0.0008354003628215
DAL193,5p,22,T>C,4249,3648,7897,6484010,6362499,12846509,0.0006147195319755
DAL193,5p,23,T>C,3916,3832,7748,6483966,6362463,12846429,0.0006031248061231
DAL193,5p,24,T>C,4422,4966,9388,6483905,6362426,12846331,0.0007307923172772
DAL193,5p,25,T>C,4069,3597,7666,6483942,6362403,12846345,0.0005967456113003
DAL195,3p,1,T>C,5,3,8,2363278,2267461,4630739,1.7275860289254048e-06
DAL195,3p,2,T>C,10,11,21,2363278,2267460,4630738,4.534914305236012e-06
DAL195,3p,3,T>C,21,30,51,2363278,2267461,4630739,1.1013360934399457e-05
DAL195,3p,4,T>C,61,74,135,2363278,2267461,4630739,2.9153014238116207e-05
DAL195,3p,5,T>C,574,532,1106,2363278,2267461,4630739,0.0002388387684989
DAL195,3p,6,T>C,611,601,1212,2363278,2267461,4630739,0.0002617292833821
DAL195,3p,7,T>C,745,742,1487,2363278,2267461,4630739,0.0003211150531265
DAL195,3p,8,T>C,663,612,1275,2363278,2267413,4630691,0.0002753368773688
DAL195,3p,9,T>C,769,748,1517,2363276,2267438,4630714,0.0003275952693256
DAL195,3p,10,T>C,767,689,1456,2363274,2267432,4630706,0.0003144228979339
DAL195,3p,11,T>C,660,678,1338,2363274,2267431,4630705,0.0002889408848112
DAL195,3p,12,T>C,953,969,1922,2363273,2267414,4630687,0.000415057204255
DAL195,3p,13,T>C,636,693,1329,2363269,2267412,4630681,0.0002869988237151
DAL195,3p,14,T>C,632,666,1298,2363250,2267410,4630660,0.0002803056151822
DAL195,3p,15,T>C,753,722,1475,2363254,2267411,4630665,0.0003185287642271
DAL195,3p,16,T>C,800,624,1424,2363259,2267394,4630653,0.0003075160241978
DAL195,3p,17,T>C,834,603,1437,2363234,2267398,4630632,0.0003103248109545
DAL195,3p,18,T>C,1101,705,1806,2363236,2267374,4630610,0.0003900134107601
DAL195,3p,19,T>C,937,725,1662,2363215,2267369,4630584,0.0003589180112054
DAL195,3p,20,T>C,722,646,1368,2363222,2267380,4630602,0.0002954259510966
DAL195,3p,21,T>C,940,896,1836,2363235,2267382,4630617,0.0003964914394777
DAL195,3p,22,T>C,1169,812,1981,2363231,2267383,4630614,0.0004278050383815
DAL195,3p,23,T>C,824,767,1591,2363219,2267370,4630589,0.0003435848009832
DAL195,3p,24,T>C,869,702,1571,2363198,2267373,4630571,0.0003392670148022
DAL195,3p,25,T>C,754,797,1551,2363180,2267377,4630557,0.0003349489057147
DAL195,5p,1,T>C,8,15,23,2363278,2267461,4630739,4.966809833160539e-06
DAL195,5p,2,T>C,8,9,17,2363264,2267447,4630711,3.671142509217267e-06
DAL195,5p,3,T>C,42,73,115,2363278,2267459,4630737,2.483405989154642e-05
DAL195,5p,4,T>C,98,56,154,2363278,2267461,4630739,3.325603105681404e-05
DAL195,5p,5,T>C,393,353,746,2363277,2267461,4630738,0.000161097431986
DAL195,5p,6,T>C,537,589,1126,2363277,2267461,4630738,0.0002431577860807
DAL195,5p,7,T>C,493,541,1034,2363277,2267461,4630738,0.0002232905424578
DAL195,5p,8,T>C,882,645,1527,2363212,2267460,4630672,0.000329757754382
DAL195,5p,9,T>C,863,605,1468,2363181,2267461,4630642,0.0003170186768918
DAL195,5p,10,T>C,817,617,1434,2363146,2267458,4630604,0.000309678823756
DAL195,5p,11,T>C,850,851,1701,2362948,2267450,4630398,0.0003673550308202
DAL195,5p,12,T>C,943,836,1779,2362864,2267454,4630318,0.0003842068730484
DAL195,5p,13,T>C,739,742,1481,2363073,2267445,4630518,0.0003198346275729
DAL195,5p,14,T>C,1020,688,1708,2363094,2267434,4630528,0.0003688564241486
DAL195,5p,15,T>C,882,798,1680,2363178,2267432,4630610,0.0003628031728001
DAL195,5p,16,T>C,779,663,1442,2363170,2267429,4630599,0.0003114067963993
DAL195,5p,17,T>C,701,711,1412,2363159,2267431,4630590,0.000304928745581
DAL195,5p,18,T>C,851,645,1496,2363182,2267420,4630602,0.0003230681453512
DAL195,5p,19,T>C,949,734,1683,2363138,2267420,4630558,0.0003634551170722
DAL195,5p,20,T>C,822,736,1558,2363110,2267401,4630511,0.0003364639453399
DAL195,5p,21,T>C,908,743,1651,2363086,2267400,4630486,0.0003565500467985
