Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,G>T,2,12,14,6350003,6167708,12517711,1.1184153396735231e-06
DAL192,3p,2,G>T,40,29,69,6350003,6167706,12517709,5.51219076909361e-06
DAL192,3p,3,G>T,81,52,133,6350003,6167708,12517711,1.0624945726898471e-05
DAL192,3p,4,G>T,62,87,149,6350003,6167708,12517711,1.1903134686525356e-05
DAL192,3p,5,G>T,174,134,308,6350003,6167708,12517711,2.4605137472817515e-05
DAL192,3p,6,G>T,263,155,418,6350003,6167708,12517711,3.339268657025234e-05
DAL192,3p,7,G>T,203,127,330,6350003,6167708,12517711,2.636264729230448e-05
DAL192,3p,8,G>T,273,176,449,6350003,6167618,12517621,3.586943557405996e-05
DAL192,3p,9,G>T,219,237,456,6350003,6167637,12517640,3.642859197101051e-05
DAL192,3p,10,G>T,361,434,795,6350003,6167645,12517648,6.351033357065162e-05
DAL192,3p,11,G>T,307,289,596,6349987,6167644,12517631,4.761284303715296e-05
DAL192,3p,12,G>T,275,526,801,6349997,6167646,12517643,6.398968240266958e-05
DAL192,3p,13,G>T,290,368,658,6349992,6167621,12517613,5.256593249847236e-05
DAL192,3p,14,G>T,235,278,513,6349967,6167610,12517577,4.0982372227468624e-05
DAL192,3p,15,G>T,281,318,599,6349968,6167615,12517583,4.785268849425644e-05
DAL192,3p,16,G>T,313,272,585,6349943,6167587,12517530,4.6734459593865566e-05
DAL192,3p,17,G>T,369,310,679,6349922,6167606,12517528,5.424393698180663e-05
DAL192,3p,18,G>T,340,353,693,6349922,6167564,12517486,5.536255442985916e-05
DAL192,3p,19,G>T,359,420,779,6349921,6167519,12517440,6.223317227803769e-05
DAL192,3p,20,G>T,378,347,725,6349910,6167516,12517426,5.791925592370189e-05
DAL192,3p,21,G>T,391,521,912,6349882,6167507,12517389,7.285864488193184e-05
DAL192,3p,22,G>T,327,512,839,6349894,6167488,12517382,6.702679521963938e-05
DAL192,3p,23,G>T,413,457,870,6349902,6167465,12517367,6.950343470795415e-05
DAL192,3p,24,G>T,436,527,963,6349899,6167465,12517364,7.69331306495521e-05
DAL192,3p,25,G>T,543,348,891,6349856,6167384,12517240,7.118182602554557e-05
DAL192,5p,1,G>T,8,5,13,6350003,6167708,12517711,1.0385285296968431e-06
DAL192,5p,2,G>T,168,22,190,6349992,6167694,12517686,1.5178524209666227e-05
