Sample,End,Position,Substitution,Pos_Count,Neg_Count,Combined_Count,Pos_Total,Neg_Total,Combined_Total,Frequency
DAL192,3p,1,A>C,10,1,11,6350003,6167708,12517711,8.787549097434826e-07
DAL192,3p,2,A>C,6,9,15,6350003,6167706,12517709,1.1983023411073063e-06
DAL192,3p,3,A>C,149,126,275,6350003,6167708,12517711,2.1968872743587066e-05
DAL192,3p,4,A>C,127,149,276,6350003,6167708,12517711,2.2048759553563745e-05
DAL192,3p,5,A>C,300,238,538,6350003,6167708,12517711,4.297910376745397e-05
DAL192,3p,6,A>C,299,184,483,6350003,6167708,12517711,3.858532921873656e-05
DAL192,3p,7,A>C,310,194,504,6350003,6167708,12517711,4.026295222824685e-05
DAL192,3p,8,A>C,325,258,583,6350003,6167618,12517621,4.657434507723153e-05
DAL192,3p,9,A>C,329,234,563,6350003,6167637,12517640,4.497652912210289e-05
DAL192,3p,10,A>C,407,296,703,6350003,6167645,12517648,5.61607100631045e-05
DAL192,3p,11,A>C,386,327,713,6349987,6167644,12517631,5.695965953941285e-05
DAL192,3p,12,A>C,471,447,918,6349997,6167646,12517643,7.333648994463254e-05
DAL192,3p,13,A>C,738,262,1000,6349992,6167621,12517613,7.98874354080127e-05
DAL192,3p,14,A>C,721,404,1125,6349967,6167610,12517577,8.987362330585224e-05
DAL192,3p,15,A>C,600,407,1007,6349968,6167615,12517583,8.044684025662142e-05
DAL192,3p,16,A>C,592,445,1037,6349943,6167587,12517530,8.28438198270745e-05
DAL192,3p,17,A>C,730,372,1102,6349922,6167606,12517528,8.803655162584817e-05
DAL192,3p,18,A>C,553,435,988,6349922,6167564,12517486,7.89295869793663e-05
DAL192,3p,19,A>C,495,442,937,6349921,6167519,12517440,7.485556152056651e-05
DAL192,3p,20,A>C,491,398,889,6349910,6167516,12517426,7.102099105678755e-05
DAL192,3p,21,A>C,677,514,1191,6349882,6167507,12517389,9.514763821752285e-05
DAL192,3p,22,A>C,892,440,1332,6349894,6167488,12517382,0.0001064120276907
DAL192,3p,23,A>C,714,491,1205,6349902,6167465,12517367,9.626625152078708e-05
DAL192,3p,24,A>C,748,517,1265,6349899,6167465,12517364,0.0001010596160661
DAL192,3p,25,A>C,567,501,1068,6349856,6167384,12517240,8.53223234514957e-05
DAL192,5p,1,A>C,2,11,13,6350003,6167708,12517711,1.0385285296968431e-06
DAL192,5p,2,A>C,9,18,27,6349992,6167694,12517686,2.156948177163096e-06
DAL192,5p,3,A>C,28,47,75,6350003,6167707,12517710,5.991511226893737e-06
DAL192,5p,4,A>C,89,43,132,6350003,6167708,12517711,1.0545058916921792e-05
DAL192,5p,5,A>C,192,115,307,6350003,6167707,12517710,2.452525262208503e-05
DAL192,5p,6,A>C,202,146,348,6350002,6167707,12517709,2.780061431368951e-05
DAL192,5p,7,A>C,233,190,423,6350002,6167708,12517710,3.379212331968068e-05
DAL192,5p,8,A>C,296,234,530,6349926,6167708,12517634,4.2340269734679895e-05
DAL192,5p,9,A>C,342,213,555,6349914,6167708,12517622,4.43374947733683e-05
DAL192,5p,10,A>C,417,179,596,6349896,6167708,12517604,4.761294573626071e-05
DAL192,5p,11,A>C,414,519,933,6349942,6167706,12517648,7.453476883197226e-05
DAL192,5p,12,A>C,472,361,833,6349906,6167700,12517606,6.6546270908351e-05
DAL192,5p,13,A>C,687,302,989,6349906,6167705,12517611,7.90086862421272e-05
DAL192,5p,14,A>C,426,299,725,6349889,6167679,12517568,5.791859888438393e-05
DAL192,5p,15,A>C,533,558,1091,6349890,6167649,12517539,8.715770727776442e-05
DAL192,5p,16,A>C,473,428,901,6349904,6167639,12517543,7.197898181775769e-05
DAL192,5p,17,A>C,492,404,896,6349778,6167623,12517401,7.158035442021871e-05
DAL192,5p,18,A>C,636,629,1265,6349859,6167631,12517490,0.0001010585988085
DAL192,5p,19,A>C,509,649,1158,6349822,6167638,12517460,9.251078094118136e-05
DAL192,5p,20,A>C,718,672,1390,6349836,6167621,12517457,0.0001110449191077
DAL192,5p,21,A>C,579,481,1060,6349784,6167624,12517408,8.468206836431313e-05
DAL192,5p,22,A>C,437,608,1045,6349783,6167584,12517367,8.348401065495643e-05
DAL192,5p,23,A>C,609,426,1035,6349801,6167567,12517368,8.26851139952105e-05
DAL192,5p,24,A>C,596,576,1172,6349759,6167564,12517323,9.363024346339868e-05
DAL192,5p,25,A>C,636,626,1262,6349777,6167551,12517328,0.0001008202389519
